t,service,metric,labels,value
1790095389.262,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",50376704.0
1790095389.262,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42364928.0
1790095394.283,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",55181312.0
1790095394.283,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",50376704.0
1790095394.283,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42373120.0
1790095399.324,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",55189504.0
1790095399.324,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",50417664.0
1790095399.324,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42373120.0
1790095404.361,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",55181312.0
1790095404.361,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",50417664.0
1790095404.361,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42381312.0
1790095409.380,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",55181312.0
1790095409.380,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",50417664.0
1790095409.380,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42381312.0
1790095414.397,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",55181312.0
1790095414.397,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",50421760.0
1790095414.397,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42385408.0
1790095419.424,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",55181312.0
1790095419.424,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",50421760.0
1790095419.424,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42389504.0
1790095424.448,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",55181312.0
1790095424.448,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",50421760.0
1790095424.448,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42397696.0
1790095429.459,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",55181312.0
1790095429.459,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",50421760.0
1790095429.459,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42397696.0
1790095434.476,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",55181312.0
1790095434.476,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",50425856.0
1790095434.476,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42405888.0
1790095439.500,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",55181312.0
1790095439.500,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",50425856.0
1790095439.500,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42405888.0
1790095444.522,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",55255040.0
1790095444.522,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",50425856.0
1790095444.522,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42409984.0
1790095449.539,swift-user-service,process_resident_memory_bytes,"{language=""swift"",service=""user-service""}",55255040.0
1790095449.539,swift-product-service,process_resident_memory_bytes,"{language=""swift"",service=""product-service""}",50425856.0
1790095449.539,swift-order-service,process_resident_memory_bytes,"{language=""swift"",service=""order-service""}",42418176.0
