t,k6_cpu_percent_of_one_core,k6_rss_bytes
1790099553.632,nan,160579584.0
1790099557.743,2.186253742962779,166592512.0
1790099561.852,1.9285612718109852,170344448.0
1790099566.007,1.9306022056129912,173899776.0
1790099570.142,1.9313771882045097,174407680.0
1790099574.289,1.696667853635527,176685056.0
1790099578.415,1.9263371807912562,154583040.0
1790099582.573,2.1688880942097706,160071680.0
1790099586.715,1.9277521087712988,160497664.0
1790099590.872,2.165543223624862,165986304.0
1790099595.023,2.164933295168059,171655168.0
1790099599.178,1.9347472593787836,176521216.0
1790099603.312,5.072511547428898,208093184.0
1790099607.458,2.1639790389111906,205111296.0
1790099611.611,2.165007297896112,207159296.0
1790099615.774,2.1673545400909155,205586432.0
1790099619.919,1.9262301358998277,206372864.0
1790099624.073,2.4244046910969317,208470016.0
1790099628.207,1.9469619892740122,199753728.0
1790099633.338,2.165662119580102,202129408.0
1790099637.499,2.4087666779496457,204914688.0
1790099641.644,2.3977642611756953,207716352.0
1790099645.814,2.4064776259414886,203210752.0
1790099649.976,2.892040884867724,210944000.0
1790099654.117,6.021741015564656,217432064.0
1790099658.277,2.652833419667513,217792512.0
1790099662.418,2.4107137828001917,217858048.0
1790099666.564,2.1758814344121338,217989120.0
1790099670.703,2.403844313245543,218202112.0
1790099674.868,2.8914268296206864,218316800.0
1790099679.010,2.646230215436998,218218496.0
1790099683.175,2.1716281065604948,218480640.0
1790099687.319,2.4004682004512388,221085696.0
1790099691.485,2.416802114554332,226607104.0
1790099695.615,2.405775323639081,231391232.0
1790099699.779,7.732687161188704,235225088.0
1790099703.913,2.148191233549778,235864064.0
1790099708.105,2.883425982249038,227672064.0
1790099712.269,2.414697800078426,231538688.0
1790099716.408,2.40605492555281,234078208.0
1790099720.567,2.164592277508298,235749376.0
1790099724.716,1.9220835818918864,236339200.0
1790099728.877,1.9344033888807555,236765184.0
1790099733.016,1.6709665981721178,237338624.0
1790099737.206,1.6863959388822058,239026176.0
1790099741.356,1.4506622937053022,240844800.0
1790099745.489,1.4554376528043949,242204672.0
1790099749.612,1.6886986235383268,244842496.0
1790099753.757,2.4040709652780134,248184832.0
1790099757.926,2.1605308112598354,248463360.0
1790099762.092,1.9139799335300696,251183104.0
1790099766.265,0.0,0.0
