t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790098906.061,java-order-service,2.42,305345331.2,28.44,35
1790098906.061,java-user-service,35.4,413872947.2,38.55,39
1790098906.061,java-product-service,18.04,394474291.2,36.74,38
1790098906.061,research-postgres,0.09,140614041.6,13.10,45
1790098906.061,research-redis,2.66,39992688.64,7.45,8
1790098910.177,java-order-service,1.32,305659904.0,28.46,35
1790098910.177,java-user-service,34.77,414606950.4,38.61,39
1790098910.177,java-product-service,19.16,394474291.2,36.74,38
1790098910.177,research-postgres,0.08,141033472.0,13.14,45
1790098910.177,research-redis,2.46,40558919.68,7.55,8
1790098914.326,java-order-service,6.67,305869619.2,28.49,35
1790098914.326,java-user-service,17.67,411985510.4,38.37,39
1790098914.326,java-product-service,19.18,394474291.2,36.74,38
1790098914.326,research-postgres,0.07,140823756.8,13.12,45
1790098914.326,research-redis,3.6,40391147.52,7.52,8
1790098918.445,java-order-service,1.11,305659904.0,28.47,35
1790098918.445,java-user-service,58.82,412929228.8,38.46,40
1790098918.445,java-product-service,24.4,394684006.4,36.76,39
1790098918.445,research-postgres,3.03,144703488.0,13.48,47
1790098918.445,research-redis,2.47,40118517.76,7.47,8
1790098922.560,java-order-service,1.93,306184192.0,28.52,35
1790098922.560,java-user-service,24.16,413243801.6,38.49,40
1790098922.560,java-product-service,23.5,394998579.2,36.79,38
1790098922.560,research-postgres,0.16,144388915.2,13.45,47
1790098922.560,research-redis,2.58,40800092.16,7.60,8
1790098926.720,java-order-service,2.34,306184192.0,28.52,35
1790098926.720,java-user-service,26.68,413453516.8,38.50,39
1790098926.720,java-product-service,19.0,394684006.4,36.76,38
1790098926.720,research-postgres,0.11,144493772.8,13.46,47
1790098926.720,research-redis,1.84,40212889.6,7.49,8
1790098930.889,java-order-service,1.85,306813337.6,28.58,35
1790098930.889,java-user-service,16.56,413348659.2,38.50,39
1790098930.889,java-product-service,13.01,394684006.4,36.75,38
1790098930.889,research-postgres,0.95,144179200.0,13.43,47
1790098930.889,research-redis,1.91,40129003.52,7.47,8
1790098935.058,java-order-service,2.46,307023052.8,28.60,35
1790098935.058,java-user-service,9.04,413348659.2,38.50,39
1790098935.058,java-product-service,4.73,395103436.8,36.80,38
1790098935.058,research-postgres,0.12,145227776.0,13.52,47
1790098935.058,research-redis,2.89,40433090.56,7.53,8
1790098939.208,java-order-service,3.47,306918195.2,28.59,35
1790098939.208,java-user-service,8.77,413558374.4,38.51,39
1790098939.208,java-product-service,4.32,395418009.6,36.83,38
1790098939.208,research-postgres,0.13,144703488.0,13.48,47
1790098939.208,research-redis,1.31,40244346.88,7.50,8
1790098943.365,java-order-service,2.47,307442483.2,28.63,35
1790098943.365,java-user-service,6.67,413243801.6,38.49,39
1790098943.365,java-product-service,3.74,395103436.8,36.79,38
1790098943.365,research-postgres,0.11,144703488.0,13.48,47
1790098943.365,research-redis,1.12,40066088.96,7.46,8
1790098947.487,java-order-service,1.92,307442483.2,28.63,35
1790098947.487,java-user-service,7.81,413348659.2,38.50,39
1790098947.487,java-product-service,5.66,395208294.4,36.81,38
1790098947.487,research-postgres,0.18,144913203.2,13.50,47
1790098947.487,research-redis,1.19,40349204.48,7.51,8
1790098951.666,java-order-service,4.1,307757056.0,28.67,35
1790098951.666,java-user-service,6.62,413138944.0,38.48,40
1790098951.666,java-product-service,14.9,395732582.4,36.85,39
1790098951.666,research-postgres,0.54,148583219.2,13.84,49
1790098951.666,research-redis,1.09,40275804.16,7.50,8
1790098955.859,java-order-service,1.38,307757056.0,28.66,35
1790098955.859,java-user-service,5.63,413348659.2,38.50,39
1790098955.859,java-product-service,5.44,395732582.4,36.85,38
1790098955.859,research-postgres,0.11,148373504.0,13.82,49
1790098955.859,research-redis,1.26,39824916.48,7.42,8
1790098960.022,java-order-service,2.59,308071628.8,28.69,35
1790098960.022,java-user-service,6.17,413348659.2,38.50,39
1790098960.022,java-product-service,5.14,394579148.8,36.75,38
1790098960.022,research-postgres,0.1,148373504.0,13.82,49
1790098960.022,research-redis,1.18,39898316.8,7.43,8
1790098964.186,java-order-service,1.95,308071628.8,28.69,35
1790098964.186,java-user-service,7.21,413348659.2,38.50,39
1790098964.186,java-product-service,5.7,394579148.8,36.75,38
1790098964.186,research-postgres,3.59,148897792.0,13.87,50
1790098964.186,research-redis,1.11,39625687.04,7.38,8
1790098968.358,java-order-service,4.16,308071628.8,28.69,35
1790098968.358,java-user-service,4.48,413453516.8,38.51,39
1790098968.358,java-product-service,4.15,394474291.2,36.74,38
1790098968.358,research-postgres,0.1,148163788.8,13.80,49
1790098968.358,research-redis,0.75,39803944.96,7.41,8
1790098972.533,java-order-service,3.44,308281344.0,28.71,35
1790098972.533,java-user-service,5.79,413453516.8,38.51,39
1790098972.533,java-product-service,4.19,394474291.2,36.74,38
1790098972.533,research-postgres,0.13,148583219.2,13.84,49
1790098972.533,research-redis,1.03,40149975.04,7.48,8
1790098976.690,java-order-service,2.02,308281344.0,28.71,35
1790098976.690,java-user-service,10.69,413453516.8,38.50,39
1790098976.690,java-product-service,3.75,394788864.0,36.76,38
1790098976.690,research-postgres,0.13,148792934.4,13.86,49
1790098976.690,research-redis,1.03,40108032.0,7.47,8
