t,k6_cpu_percent_of_one_core,k6_rss_bytes
1790097049.488,nan,44482560.0
1790097053.605,0.9591826910488143,46137344.0
1790097057.775,0.956549210336802,47595520.0
1790097061.952,1.4474353998494922,48676864.0
1790097066.102,1.4655936298470242,49299456.0
1790097070.195,1.2147019837246362,45187072.0
1790097074.303,1.9500566662178147,45957120.0
1790097078.411,2.190255883833526,46694400.0
1790097082.522,2.1841181233775866,47529984.0
1790097086.635,2.1875652886958505,47841280.0
1790097090.758,1.9405503171151732,48005120.0
1790097094.874,1.9399215970493489,48283648.0
1790097098.996,1.9488661826760043,49692672.0
1790097103.109,1.9376065687216086,50085888.0
1790097107.236,1.9426802644428913,50544640.0
1790097111.355,1.6941862831636492,50806784.0
1790097115.488,1.9259014453258307,51068928.0
1790097119.633,1.468769205286767,44253184.0
1790097123.720,2.177199396846545,48414720.0
1790097127.861,1.9239907851007272,48775168.0
1790097132.010,1.9290183950007846,48988160.0
1790097136.166,1.6833341245427913,49217536.0
1790097140.319,1.6864426284885867,49414144.0
1790097144.469,2.167906195376987,49479680.0
1790097148.627,1.7068346395464087,49561600.0
1790097152.728,1.677601771302046,49577984.0
1790097156.901,1.9259249905667988,49659904.0
1790097161.055,1.9291883053620693,49692672.0
1790097165.202,1.926850896369789,49790976.0
1790097169.349,1.6965930468303358,49987584.0
1790097173.470,1.9484644353782234,50118656.0
1790097177.585,1.6890824651798042,50135040.0
1790097181.727,1.9415194378287544,50331648.0
1790097185.848,2.181463882359043,50462720.0
1790097189.975,2.169102703240664,50249728.0
1790097194.120,2.1854722769782646,49954816.0
1790097198.241,1.9323625381958234,49938432.0
1790097202.373,2.4331534608722305,50069504.0
1790097206.487,1.9494511059161037,50184192.0
1790097210.596,1.2160984925472786,50282496.0
1790097214.698,1.9465033467313986,50298880.0
1790097218.818,2.1851634646727196,50315264.0
1790097222.932,1.9451118462591799,50364416.0
1790097227.047,1.6986984878872287,50298880.0
1790097231.170,1.6942991065438804,50724864.0
1790097235.302,1.6937534115771764,50855936.0
1790097239.425,1.9362143474901923,50937856.0
1790097243.566,1.9177049195693359,50954240.0
1790097247.732,1.4505910511059967,51019776.0
1790097251.874,2.1622375113284957,50937856.0
1790097256.036,1.68665760838969,50921472.0
1790097260.183,2.1744661089324726,50921472.0
1790097264.321,1.9168908218650724,50937856.0
1790097268.499,1.6911497152878991,50970624.0
1790097272.635,1.43798438959489,50987008.0
1790097276.811,1.683994141377811,50987008.0
1790097280.968,0.961964393498634,51019776.0
1790097285.116,0.9736319466297053,51036160.0
1790097290.254,0.9617175755536463,51511296.0
