t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790112355.837,java-order-service,2.95,279550361.6,26.04,38
1790112355.837,java-product-service,21.38,368889036.8,34.36,87
1790112355.837,java-user-service,40.02,409468928.0,38.14,124
1790112355.837,research-postgres,0.07,147010355.2,13.69,47
1790112355.837,research-redis,2.94,7655653.376,1.43,8
1790112359.992,java-order-service,0.95,279550361.6,26.03,38
1790112359.992,java-product-service,20.66,369937612.8,34.45,93
1790112359.992,java-user-service,39.43,409468928.0,38.13,127
1790112359.992,research-postgres,0.13,147010355.2,13.69,47
1790112359.992,research-redis,2.65,7683964.928,1.43,8
1790112364.158,java-order-service,1.25,279550361.6,26.03,38
1790112364.158,java-product-service,23.37,370252185.6,34.48,95
1790112364.158,java-user-service,47.01,408525209.6,38.04,130
1790112364.158,research-postgres,0.09,146695782.4,13.66,47
1790112364.158,research-redis,2.78,7679770.624,1.43,8
1790112368.306,java-order-service,0.94,279760076.8,26.05,38
1790112368.306,java-product-service,26.41,371405619.2,34.59,104
1790112368.306,java-user-service,41.46,408315494.4,38.02,130
1790112368.306,research-postgres,2.92,150994944.0,14.07,49
1790112368.306,research-redis,2.49,7836008.448,1.46,8
1790112372.432,java-order-service,1.51,280494080.0,26.12,38
1790112372.432,java-product-service,22.98,372034764.8,34.65,105
1790112372.432,java-user-service,33.92,408944640.0,38.09,131
1790112372.432,research-postgres,0.08,150470656.0,14.01,49
1790112372.432,research-redis,2.79,7855931.392,1.46,8
1790112376.583,java-order-service,2.81,280284364.8,26.10,38
1790112376.583,java-product-service,19.24,372244480.0,34.67,104
1790112376.583,java-user-service,29.48,408630067.2,38.06,130
1790112376.583,research-postgres,0.1,150470656.0,14.02,49
1790112376.583,research-redis,2.36,8113881.088,1.51,8
1790112380.727,java-order-service,1.91,280598937.6,26.13,38
1790112380.727,java-product-service,19.84,372454195.2,34.69,104
1790112380.727,java-user-service,18.32,408839782.4,38.07,130
1790112380.727,research-postgres,2.71,150785228.8,14.05,49
1790112380.727,research-redis,1.88,8012169.216,1.49,8
1790112384.888,java-order-service,3.61,280808652.8,26.15,38
1790112384.888,java-product-service,5.79,372139622.4,34.66,104
1790112384.888,java-user-service,8.21,409364070.4,38.13,130
1790112384.888,research-postgres,0.19,150470656.0,14.02,49
1790112384.888,research-redis,1.52,7806648.32,1.45,8
1790112389.045,java-order-service,4.59,280913510.4,26.16,38
1790112389.045,java-product-service,5.77,372244480.0,34.66,104
1790112389.045,java-user-service,7.74,409259212.8,38.12,130
1790112389.045,research-postgres,0.11,150575513.6,14.02,49
1790112389.045,research-redis,1.32,7237271.552,1.35,8
1790112393.197,java-order-service,2.58,281123225.6,26.18,38
1790112393.197,java-product-service,5.68,372139622.4,34.66,104
1790112393.197,java-user-service,8.07,409364070.4,38.12,130
1790112393.197,research-postgres,0.91,150785228.8,14.04,49
1790112393.197,research-redis,1.02,7614758.912,1.42,8
1790112397.353,java-order-service,1.11,281752371.2,26.24,38
1790112397.353,java-product-service,5.39,372034764.8,34.64,104
1790112397.353,java-user-service,8.02,409468928.0,38.13,130
1790112397.353,research-postgres,0.14,150785228.8,14.04,49
1790112397.353,research-redis,0.88,7724859.392,1.44,8
1790112401.513,java-order-service,4.24,281752371.2,26.24,38
1790112401.513,java-product-service,5.97,371929907.2,34.64,105
1790112401.513,java-user-service,14.8,409468928.0,38.13,131
1790112401.513,research-postgres,0.09,152253235.2,14.18,50
1790112401.513,research-redis,1.15,7593787.392,1.41,8
1790112405.696,java-order-service,1.52,281752371.2,26.24,38
1790112405.696,java-product-service,5.58,372559052.8,34.70,104
1790112405.696,java-user-service,9.52,409468928.0,38.13,130
1790112405.696,research-postgres,0.15,152043520.0,14.16,50
1790112405.696,research-redis,1.09,7483686.912,1.39,8
1790112409.861,java-order-service,1.68,281542656.0,26.22,38
1790112409.861,java-product-service,4.81,372873625.6,34.73,104
1790112409.861,java-user-service,7.98,407686348.8,37.97,130
1790112409.861,research-postgres,0.12,152462950.4,14.20,50
1790112409.861,research-redis,1.22,7876902.912,1.47,8
1790112414.033,java-order-service,1.16,281857228.8,26.25,38
1790112414.033,java-product-service,6.08,372559052.8,34.69,104
1790112414.033,java-user-service,11.41,407791206.4,37.98,130
1790112414.033,research-postgres,1.34,152672665.6,14.22,50
1790112414.033,research-redis,1.38,8179941.376,1.52,8
1790112418.210,java-order-service,2.9,282171801.6,26.28,38
1790112418.210,java-product-service,12.63,372559052.8,34.70,104
1790112418.210,java-user-service,6.73,406113484.8,37.82,130
1790112418.210,research-postgres,0.12,152987238.4,14.25,50
1790112418.210,research-redis,1.11,7147094.016,1.33,8
1790112422.376,java-order-service,6.22,282381516.8,26.30,38
1790112422.376,java-product-service,4.19,372349337.6,34.68,104
1790112422.376,java-user-service,5.13,406742630.4,37.88,130
1790112422.376,research-postgres,0.14,152777523.2,14.23,50
1790112422.376,research-redis,1.03,7659847.68,1.43,8
1790112426.582,java-order-service,3.76,282696089.6,26.33,38
1790112426.582,java-product-service,5.14,372663910.4,34.71,104
1790112426.582,java-user-service,5.01,406218342.4,37.83,130
1790112426.582,research-postgres,0.75,152567808.0,14.21,50
1790112426.582,research-redis,1.12,7888437.248,1.47,8
