t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790101353.524,java-order-service,16.18,294335283.2,27.41,37
1790101353.524,java-user-service,56.22,389231411.2,36.25,40
1790101353.524,java-product-service,10.26,360919859.2,33.61,38
1790101353.524,research-postgres,2.21,139250892.8,12.97,44
1790101353.524,research-redis,0.72,39646658.56,7.39,8
1790101357.656,java-order-service,5.09,295279001.6,27.50,37
1790101357.656,java-user-service,118.76,389021696.0,36.23,40
1790101357.656,java-product-service,3.81,361024716.8,33.62,38
1790101357.656,research-postgres,1.03,139355750.4,12.98,44
1790101357.656,research-redis,0.49,39573258.24,7.37,8
1790101361.767,java-order-service,5.02,296013004.8,27.57,37
1790101361.767,java-user-service,68.32,386924544.0,36.03,40
1790101361.767,java-product-service,3.0,360919859.2,33.61,38
1790101361.767,research-postgres,0.82,139041177.6,12.95,44
1790101361.767,research-redis,1.73,40129003.52,7.48,8
1790101365.881,java-order-service,5.23,297061580.8,27.66,37
1790101365.881,java-user-service,101.28,391852851.2,36.49,40
1790101365.881,java-product-service,4.72,361024716.8,33.63,38
1790101365.881,research-postgres,0.93,139565465.6,13.00,44
1790101365.881,research-redis,0.54,39992688.64,7.45,8
1790101369.984,java-order-service,6.99,297481011.2,27.71,37
1790101369.984,java-user-service,99.7,392377139.2,36.54,40
1790101369.984,java-product-service,4.05,361024716.8,33.62,38
1790101369.984,research-postgres,1.05,141872332.8,13.21,45
1790101369.984,research-redis,0.51,40160460.8,7.48,8
1790101374.101,java-order-service,11.64,298844160.0,27.83,37
1790101374.101,java-user-service,83.45,391747993.6,36.49,40
1790101374.101,java-product-service,14.71,366372454.4,34.13,38
1790101374.101,research-postgres,4.53,151309516.8,14.09,48
1790101374.101,research-redis,0.72,40296775.68,7.51,8
1790101378.216,java-order-service,6.01,298739302.4,27.82,37
1790101378.216,java-user-service,116.77,391643136.0,36.48,40
1790101378.216,java-product-service,3.16,364380160.0,33.94,38
1790101378.216,research-postgres,1.78,151624089.6,14.12,48
1790101378.216,research-redis,0.57,40034631.68,7.46,8
1790101382.332,java-order-service,7.19,298949017.6,27.84,37
1790101382.332,java-user-service,83.2,391852851.2,36.49,40
1790101382.332,java-product-service,10.68,368259891.2,34.29,38
1790101382.332,research-postgres,1.64,155503820.8,14.48,50
1790101382.332,research-redis,0.7,39667630.08,7.39,8
1790101386.473,java-order-service,8.03,298949017.6,27.84,37
1790101386.473,java-user-service,70.13,391747993.6,36.49,40
1790101386.473,java-product-service,10.71,368574464.0,34.33,38
1790101386.473,research-postgres,1.62,155503820.8,14.48,50
1790101386.473,research-redis,0.49,39405486.08,7.34,8
1790101390.597,java-order-service,8.93,298844160.0,27.83,37
1790101390.597,java-user-service,148.86,391957708.8,36.50,40
1790101390.597,java-product-service,2.97,368784179.2,34.34,38
1790101390.597,research-postgres,4.04,164311859.2,15.30,55
1790101390.597,research-redis,0.67,39625687.04,7.38,8
1790101394.708,java-order-service,5.24,298634444.8,27.81,37
1790101394.708,java-user-service,113.59,391747993.6,36.48,40
1790101394.708,java-product-service,5.99,369098752.0,34.38,38
1790101394.708,research-postgres,1.88,167038156.8,15.55,55
1790101394.708,research-redis,0.47,39762001.92,7.41,8
1790101398.826,java-order-service,5.72,298844160.0,27.83,37
1790101398.826,java-user-service,135.72,391747993.6,36.48,40
1790101398.826,java-product-service,2.14,369098752.0,34.37,39
1790101398.826,research-postgres,1.96,166933299.2,15.54,55
1790101398.826,research-redis,0.64,39562772.48,7.37,8
1790101402.939,java-order-service,4.93,298844160.0,27.83,37
1790101402.939,java-user-service,117.05,392272281.6,36.54,40
1790101402.939,java-product-service,4.1,369308467.2,34.39,38
1790101402.939,research-postgres,1.44,167457587.2,15.60,55
1790101402.939,research-redis,0.83,39709573.12,7.40,8
1790101407.052,java-order-service,0.29,299263590.4,27.87,37
1790101407.052,java-user-service,135.22,392481996.8,36.55,40
1790101407.052,java-product-service,1.73,368993894.4,34.37,38
1790101407.052,research-postgres,1.3,168086732.8,15.66,55
1790101407.052,research-redis,0.82,39688601.6,7.39,8
1790101411.147,java-order-service,2.64,296956723.2,27.66,37
1790101411.147,java-user-service,148.96,392272281.6,36.53,40
1790101411.147,java-product-service,1.42,369308467.2,34.39,38
1790101411.147,research-postgres,3.79,168611020.8,15.70,55
1790101411.147,research-redis,0.62,39961231.36,7.44,8
1790101415.256,java-order-service,9.66,299578163.2,27.90,37
1790101415.256,java-user-service,134.92,394159718.4,36.71,42
1790101415.256,java-product-service,7.28,369203609.6,34.39,38
1790101415.256,research-postgres,1.78,169554739.2,15.79,55
1790101415.256,research-redis,0.5,40087060.48,7.47,8
1790101419.365,java-order-service,5.82,297690726.4,27.72,37
1790101419.365,java-user-service,118.63,392586854.4,36.56,40
1790101419.365,java-product-service,10.95,369098752.0,34.37,38
1790101419.365,research-postgres,3.91,170498457.6,15.88,55
1790101419.365,research-redis,0.7,40160460.8,7.48,8
1790101423.474,java-order-service,9.31,298634444.8,27.81,37
1790101423.474,java-user-service,113.18,392272281.6,36.54,40
1790101423.474,java-product-service,2.68,369203609.6,34.39,38
1790101423.474,research-postgres,1.47,170183884.8,15.85,55
1790101423.474,research-redis,0.69,40087060.48,7.47,8
1790101427.583,java-order-service,4.82,298215014.4,27.78,37
1790101427.583,java-user-service,125.4,385771110.4,35.93,40
1790101427.583,java-product-service,4.14,368574464.0,34.33,38
1790101427.583,research-postgres,2.73,170498457.6,15.88,55
1790101427.583,research-redis,0.6,40055603.2,7.46,8
1790101431.702,java-order-service,18.01,317089382.4,29.53,37
1790101431.702,java-user-service,150.03,385875968.0,35.94,40
1790101431.702,java-product-service,2.5,369832755.2,34.44,38
1790101431.702,research-postgres,3.41,170603315.2,15.89,55
1790101431.702,research-redis,0.48,40516976.64,7.55,8
1790101435.820,java-order-service,0.28,317508812.8,29.57,37
1790101435.820,java-user-service,148.34,393006284.8,36.60,40
1790101435.820,java-product-service,2.39,370042470.4,34.47,38
1790101435.820,research-postgres,0.75,169974169.6,15.83,55
1790101435.820,research-redis,0.88,40548433.92,7.55,8
1790101439.935,java-order-service,8.38,308176486.4,28.70,37
1790101439.935,java-user-service,148.39,388602265.6,36.19,40
1790101439.935,java-product-service,2.89,369727897.6,34.44,38
1790101439.935,research-postgres,2.93,170288742.4,15.86,55
1790101439.935,research-redis,0.38,40422604.8,7.53,8
1790101444.072,java-order-service,12.43,301885030.4,28.12,37
1790101444.072,java-user-service,40.97,389650841.6,36.29,40
1790101444.072,java-product-service,13.06,369727897.6,34.43,38
1790101444.072,research-postgres,2.32,170708172.8,15.89,55
1790101444.072,research-redis,0.52,40317747.2,7.51,8
1790101448.228,java-order-service,7.13,302933606.4,28.21,37
1790101448.228,java-user-service,66.15,393216000.0,36.62,40
1790101448.228,java-product-service,9.94,369518182.4,34.42,38
1790101448.228,research-postgres,1.63,170708172.8,15.90,55
1790101448.228,research-redis,0.63,39919288.32,7.44,8
1790101452.341,java-order-service,0.06,303248179.2,28.24,37
1790101452.341,java-user-service,41.97,391223705.6,36.44,40
1790101452.341,java-product-service,1.65,369413324.8,34.41,38
1790101452.341,research-postgres,0.86,171022745.6,15.93,55
1790101452.341,research-redis,0.25,40013660.16,7.45,8
1790101456.462,java-order-service,2.77,303248179.2,28.24,37
1790101456.462,java-user-service,139.21,397095731.2,36.98,40
1790101456.462,java-product-service,11.87,371929907.2,34.63,38
1790101456.462,research-postgres,1.66,171547033.6,15.98,55
1790101456.462,research-redis,0.32,39856373.76,7.42,8
1790101460.596,java-order-service,8.74,303562752.0,28.27,37
1790101460.596,java-user-service,61.86,396361728.0,36.91,40
