t,k6_cpu_percent_of_one_core,k6_rss_bytes
1790106535.278,nan,71794688.0
1790106539.397,1.1993792961417733,74825728.0
1790106543.566,2.1619227243956205,77234176.0
1790106547.729,2.881684474641692,72564736.0
1790106551.893,4.8061535390589984,83804160.0
1790106556.054,3.82054334841594,84131840.0
1790106560.234,5.3176985072877345,84262912.0
1790106564.379,4.341147660773316,84443136.0
1790106568.521,9.463520248889566,85295104.0
1790106572.645,16.03469309380696,97796096.0
1790106576.754,21.628416316229206,103530496.0
1790106580.868,27.554618224674986,111509504.0
1790106584.977,25.880197759331924,114507776.0
1790106589.104,26.959187008384923,117735424.0
1790106593.231,27.56708067869984,117833728.0
1790106597.359,26.382825861666998,118964224.0
1790106601.535,27.115126054252087,121946112.0
1790106605.666,26.05439465504667,121946112.0
1790106609.811,24.957494672880852,123224064.0
1790106613.968,28.630116086876306,120111104.0
1790106618.090,26.051044273535695,121864192.0
1790106622.236,26.88979721401017,121864192.0
1790106626.365,25.06923200569141,121913344.0
1790106630.477,21.537209322317647,127598592.0
1790106634.608,18.71234179081337,127631360.0
1790106638.783,11.791304008578338,127631360.0
1790106642.938,4.553332337629556,127631360.0
1790106647.111,5.996511009819898,127631360.0
1790106651.271,3.644112916566428,127647744.0
1790106655.396,3.8289979700432784,127401984.0
1790106659.575,5.286498114986865,119635968.0
1790106663.735,4.074242310309263,119767040.0
1790106667.909,5.51270315054821,119767040.0
1790106672.081,4.0731596077510615,119783424.0
1790106676.255,3.118061440835443,119783424.0
1790106680.422,3.854171664415254,119799808.0
1790106684.573,1.68613347905078,119799808.0
