t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790111396.724,swift-user-service,89.29,21118320.64,1.97,79
1790111396.724,research-postgres,0.0,113455923.2,10.56,28
1790111396.724,research-redis,4.37,7790919.68,1.45,8
1790111400.838,swift-order-service,0.17,9465495.552,0.88,70
1790111400.838,swift-product-service,66.05,17689477.12,1.65,78
1790111400.838,swift-user-service,84.84,21894266.88,2.04,79
1790111400.838,research-postgres,0.01,113246208.0,10.55,28
1790111400.838,research-redis,4.63,8072986.624,1.50,8
1790111404.998,swift-order-service,0.19,9445572.608,0.88,70
1790111404.998,swift-product-service,52.77,17804820.48,1.66,78
1790111404.998,swift-user-service,72.42,21432893.44,2.00,79
1790111404.998,research-postgres,0.0,113141350.4,10.54,28
1790111404.998,research-redis,4.29,7704936.448,1.44,8
1790111409.113,swift-order-service,0.28,9199157.248,0.86,70
1790111409.113,swift-product-service,31.87,17112760.32,1.59,78
1790111409.113,swift-user-service,48.63,21002977.28,1.96,79
1790111409.113,research-postgres,1.17,113141350.4,10.54,28
1790111409.113,research-redis,2.63,7675576.32,1.43,8
1790111413.242,swift-order-service,0.27,9007267.84,0.84,70
1790111413.242,swift-product-service,19.17,17752391.68,1.65,78
1790111413.242,swift-user-service,29.88,21548236.8,2.01,79
1790111413.242,research-postgres,1.17,113036492.8,10.53,28
1790111413.242,research-redis,2.14,7597981.696,1.42,8
1790111417.402,swift-order-service,0.2,9269411.84,0.86,70
1790111417.402,swift-product-service,9.45,17490247.68,1.63,78
1790111417.402,swift-user-service,12.9,21181235.2,1.97,79
1790111417.402,research-postgres,2.33,113246208.0,10.55,28
1790111417.402,research-redis,3.64,7683964.928,1.43,8
1790111421.566,swift-order-service,0.31,8990490.624,0.84,70
1790111421.566,swift-product-service,9.06,17070817.28,1.59,78
1790111421.566,swift-user-service,13.29,21726494.72,2.02,79
1790111421.566,research-postgres,0.0,113036492.8,10.53,28
1790111421.566,research-redis,1.49,7446986.752,1.39,8
1790111425.739,swift-order-service,0.28,9764339.712,0.91,70
1790111425.739,swift-product-service,8.61,17731420.16,1.65,79
1790111425.739,swift-user-service,12.95,21118320.64,1.97,79
1790111425.739,research-postgres,0.04,119642521.6,11.14,32
1790111425.739,research-redis,1.65,8098152.448,1.51,8
1790111429.919,swift-order-service,0.28,9596567.552,0.89,70
1790111429.919,swift-product-service,8.46,17364418.56,1.62,79
1790111429.919,swift-user-service,12.65,21275607.04,1.98,79
1790111429.919,research-postgres,0.0,119327948.8,11.11,32
1790111429.919,research-redis,1.38,7810842.624,1.45,8
1790111434.082,swift-order-service,0.33,9555673.088,0.89,70
1790111434.082,swift-product-service,7.47,17731420.16,1.65,78
1790111434.082,swift-user-service,10.19,21307064.32,1.98,79
1790111434.082,research-postgres,0.01,118908518.4,11.08,32
1790111434.082,research-redis,1.31,7655653.376,1.43,8
1790111438.279,swift-order-service,0.42,9789505.536,0.91,70
1790111438.279,swift-product-service,7.63,17553162.24,1.63,78
1790111438.279,swift-user-service,12.08,21380464.64,1.99,79
