t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790095143.782,research-postgres,1.61,109051904.0,10.16,29
1790095143.782,research-redis,0.43,39751516.16,7.40,8
1790095147.985,swift-order-service,0.03,9478078.464,0.88,70
1790095147.985,swift-product-service,0.03,11272192.0,1.05,70
1790095147.985,swift-user-service,148.26,25973227.52,2.42,78
1790095147.985,research-postgres,1.41,108947046.4,10.15,29
1790095147.985,research-redis,0.77,39992688.64,7.45,8
1790095152.184,swift-order-service,0.08,9478078.464,0.88,70
1790095152.184,swift-product-service,0.1,11272192.0,1.05,70
1790095152.184,swift-user-service,148.27,28846325.76,2.69,80
1790095152.184,research-postgres,2.83,109261619.2,10.18,29
1790095152.184,research-redis,0.48,40160460.8,7.48,8
1790095156.369,swift-order-service,0.18,9473884.16,0.88,71
1790095156.369,swift-product-service,0.23,11534336.0,1.07,71
1790095156.369,swift-user-service,149.71,29129441.28,2.71,78
1790095156.369,research-postgres,3.67,109261619.2,10.18,29
1790095156.369,research-redis,0.57,39845888.0,7.42,8
1790095160.546,swift-order-service,0.02,9551478.784,0.89,71
1790095160.546,swift-product-service,0.03,11869880.32,1.11,71
1790095160.546,swift-user-service,153.71,29695672.32,2.77,78
1790095160.546,research-postgres,1.5,109681049.6,10.21,29
1790095160.546,research-redis,0.52,39803944.96,7.41,8
1790095164.747,swift-order-service,0.02,9551478.784,0.89,70
1790095164.747,swift-product-service,0.04,11817451.52,1.10,70
1790095164.747,swift-user-service,158.51,31279022.08,2.91,78
1790095164.747,research-postgres,2.11,108632473.6,10.12,29
1790095164.747,research-redis,0.57,39824916.48,7.42,8
1790095168.933,swift-order-service,0.01,9551478.784,0.89,70
1790095168.933,swift-product-service,0.07,12069109.76,1.12,70
1790095168.933,swift-user-service,148.14,31247564.8,2.91,78
1790095168.933,research-postgres,2.91,109576192.0,10.20,29
1790095168.933,research-redis,0.6,39625687.04,7.38,8
1790095173.142,swift-order-service,0.01,9387900.928,0.87,70
1790095173.142,swift-product-service,0.02,11398021.12,1.06,70
1790095173.142,swift-user-service,150.03,34204549.12,3.19,80
1790095173.142,research-postgres,2.96,109051904.0,10.15,29
1790095173.142,research-redis,0.45,39835402.24,7.42,8
1790095177.329,swift-order-service,0.03,9650044.928,0.90,70
1790095177.329,swift-product-service,0.02,11398021.12,1.06,70
1790095177.329,swift-user-service,149.8,33428602.88,3.11,78
1790095177.329,research-postgres,2.62,108842188.8,10.14,29
1790095177.329,research-redis,0.62,39279656.96,7.32,8
1790095181.517,swift-order-service,0.07,8396996.608,0.78,70
1790095181.517,swift-product-service,0.1,10453254.144,0.97,70
1790095181.517,swift-user-service,149.27,34959523.84,3.26,78
1790095181.517,research-postgres,3.81,109471334.4,10.20,29
1790095181.517,research-redis,0.41,39489372.16,7.36,8
1790095185.678,swift-order-service,0.02,8646557.696,0.81,70
1790095185.678,swift-product-service,0.02,11230248.96,1.05,70
1790095185.678,swift-user-service,148.05,35190210.56,3.28,78
1790095185.678,research-postgres,4.61,108842188.8,10.14,29
1790095185.678,research-redis,0.52,39762001.92,7.41,8
