t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790097414.344,java-order-service,11.73,311112499.2,28.97,39
1790097414.344,java-product-service,6.27,385456537.6,35.90,43
1790097414.344,java-user-service,98.74,389755699.2,36.29,44
1790097414.344,research-postgres,1.35,135895449.6,12.66,43
1790097414.344,research-redis,0.6,40307261.44,7.51,8
1790097418.426,java-order-service,9.52,312580505.6,29.11,39
1790097418.426,java-product-service,4.78,385875968.0,35.94,43
1790097418.426,java-user-service,103.68,389860556.8,36.31,44
1790097418.426,research-postgres,1.25,136419737.6,12.71,43
1790097418.426,research-redis,0.53,39982202.88,7.45,8
1790097422.529,java-order-service,5.4,312580505.6,29.11,39
1790097422.529,java-product-service,3.07,382625382.4,35.64,43
1790097422.529,java-user-service,79.82,390070272.0,36.33,44
1790097422.529,research-postgres,0.84,136734310.4,12.73,43
1790097422.529,research-redis,0.47,39940259.84,7.44,8
1790097426.682,java-order-service,7.85,314363084.8,29.28,39
1790097426.682,java-product-service,6.29,385456537.6,35.90,43
1790097426.682,java-user-service,103.66,389965414.4,36.31,44
1790097426.682,research-postgres,1.36,136210022.4,12.69,43
1790097426.682,research-redis,0.72,39919288.32,7.43,8
1790097430.780,java-order-service,5.3,314363084.8,29.28,39
1790097430.780,java-product-service,3.97,389021696.0,36.23,49
1790097430.780,java-user-service,110.52,389965414.4,36.32,44
1790097430.780,research-postgres,1.27,136524595.2,12.72,43
1790097430.780,research-redis,1.83,39898316.8,7.43,8
1790097434.890,java-order-service,7.12,315306803.2,29.37,39
1790097434.890,java-product-service,3.04,390699417.6,36.39,43
1790097434.890,java-user-service,98.09,396361728.0,36.92,44
1790097434.890,research-postgres,1.1,136314880.0,12.70,43
1790097434.890,research-redis,0.65,39950745.6,7.44,8
1790097439.002,java-order-service,10.82,315306803.2,29.37,39
1790097439.002,java-product-service,7.06,394684006.4,36.76,43
1790097439.002,java-user-service,125.92,396990873.6,36.97,47
1790097439.002,research-postgres,1.56,146590924.8,13.65,48
1790097439.002,research-redis,0.96,40055603.2,7.46,8
1790097443.125,java-order-service,7.58,315411660.8,29.38,39
1790097443.125,java-product-service,13.21,390909132.8,36.40,43
1790097443.125,java-user-service,149.94,394474291.2,36.74,55
1790097443.125,research-postgres,3.37,157391257.6,14.66,54
1790097443.125,research-redis,0.75,40223375.36,7.49,8
1790097447.284,java-order-service,3.69,315621376.0,29.39,39
1790097447.284,java-product-service,4.51,390804275.2,36.40,43
1790097447.284,java-user-service,148.2,391223705.6,36.44,64
1790097447.284,research-postgres,2.01,161690419.2,15.06,55
1790097447.284,research-redis,0.66,40129003.52,7.47,8
1790097451.406,java-order-service,6.5,315306803.2,29.37,39
1790097451.406,java-product-service,3.65,392377139.2,36.55,43
1790097451.406,java-user-service,157.52,392586854.4,36.56,66
1790097451.406,research-postgres,3.36,162109849.6,15.10,55
1790097451.406,research-redis,1.57,40223375.36,7.49,8
1790097455.564,java-order-service,4.93,315831091.2,29.41,39
1790097455.564,java-product-service,3.2,396361728.0,36.91,43
1790097455.564,java-user-service,148.38,393635430.4,36.66,70
1790097455.564,research-postgres,1.85,161690419.2,15.06,55
1790097455.564,research-redis,0.93,40013660.16,7.45,8
1790097459.708,java-order-service,7.45,315726233.6,29.41,39
1790097459.708,java-product-service,7.74,393635430.4,36.66,43
1790097459.708,java-user-service,149.08,393530572.8,36.65,70
1790097459.708,research-postgres,4.36,162948710.4,15.17,55
1790097459.708,research-redis,1.92,39908802.56,7.43,8
1790097463.873,java-order-service,3.21,315516518.4,29.38,39
1790097463.873,java-product-service,3.81,394054860.8,36.70,43
1790097463.873,java-user-service,148.53,394998579.2,36.78,76
1790097463.873,research-postgres,2.5,164836147.2,15.35,56
1790097463.873,research-redis,0.87,40024145.92,7.45,8
1790097468.010,java-order-service,5.72,316669952.0,29.49,39
1790097468.010,java-product-service,5.96,394893721.6,36.78,43
1790097468.010,java-user-service,152.15,395208294.4,36.81,76
1790097468.010,research-postgres,1.89,162634137.6,15.15,55
1790097468.010,research-redis,0.89,40391147.52,7.52,8
1790097472.166,java-order-service,3.97,315935948.8,29.43,39
1790097472.166,java-product-service,3.23,394684006.4,36.75,43
1790097472.166,java-user-service,149.11,395627724.8,36.84,76
1790097472.166,research-postgres,1.53,162843852.8,15.17,55
1790097472.166,research-redis,0.74,40034631.68,7.46,8
1790097476.295,java-order-service,4.32,316250521.6,29.45,39
1790097476.295,java-product-service,4.13,394788864.0,36.77,43
1790097476.295,java-user-service,147.5,395313152.0,36.81,76
1790097476.295,research-postgres,1.97,163158425.6,15.20,55
1790097476.295,research-redis,0.69,39782973.44,7.41,8
1790097480.418,java-order-service,16.78,323275980.8,30.11,39
1790097480.418,java-product-service,7.11,394369433.6,36.72,43
1790097480.418,java-user-service,151.29,396781158.4,36.96,83
1790097480.418,research-postgres,3.55,162634137.6,15.15,55
1790097480.418,research-redis,0.73,39604715.52,7.38,8
1790097484.572,java-order-service,10.46,319081676.8,29.72,39
1790097484.572,java-product-service,4.16,395103436.8,36.80,43
1790097484.572,java-user-service,148.36,398458880.0,37.11,86
1790097484.572,research-postgres,1.7,162948710.4,15.18,55
1790097484.572,research-redis,1.13,40286289.92,7.50,8
1790097488.737,java-order-service,7.91,319396249.6,29.74,39
1790097488.737,java-product-service,5.18,394474291.2,36.74,43
1790097488.737,java-user-service,149.58,396886016.0,36.96,84
1790097488.737,research-postgres,2.03,163263283.2,15.21,55
1790097488.737,research-redis,0.84,39845888.0,7.42,8
1790097492.903,java-order-service,7.44,317613670.4,29.58,39
1790097492.903,java-product-service,12.68,397724876.8,37.04,43
1790097492.903,java-user-service,148.89,398458880.0,37.11,92
1790097492.903,research-postgres,1.75,162948710.4,15.18,55
1790097492.903,research-redis,0.69,39929774.08,7.44,8
1790097497.053,java-order-service,4.75,317823385.6,29.60,39
1790097497.053,java-product-service,3.34,395627724.8,36.84,43
1790097497.053,java-user-service,149.69,398354022.4,37.10,92
1790097497.053,research-postgres,1.74,163053568.0,15.18,55
1790097497.053,research-redis,1.43,40066088.96,7.46,8
1790097501.176,java-order-service,2.89,317508812.8,29.57,39
1790097501.176,java-product-service,2.77,394998579.2,36.78,43
1790097501.176,java-user-service,149.57,399088025.6,37.17,98
1790097501.176,research-postgres,1.53,163263283.2,15.20,55
1790097501.176,research-redis,0.79,39678115.84,7.39,8
1790097505.311,java-order-service,9.17,317613670.4,29.58,39
1790097505.311,java-product-service,2.63,395942297.6,36.88,43
1790097505.311,java-user-service,158.31,405169766.4,37.74,99
1790097505.311,research-postgres,2.87,163158425.6,15.19,55
1790097505.311,research-redis,0.68,39866859.52,7.43,8
1790097509.455,java-order-service,2.59,318347673.6,29.65,39
1790097509.455,java-product-service,7.25,395942297.6,36.87,43
1790097509.455,java-user-service,150.48,404960051.2,37.71,99
1790097509.455,research-postgres,1.89,163053568.0,15.19,55
1790097509.455,research-redis,0.93,40045117.44,7.46,8
1790097513.596,java-order-service,3.68,318347673.6,29.65,39
1790097513.596,java-product-service,2.38,396152012.8,36.90,43
1790097513.596,java-user-service,149.16,405064908.8,37.72,99
1790097513.596,research-postgres,2.37,163787571.2,15.25,55
1790097513.596,research-redis,0.83,40275804.16,7.50,8
1790097517.729,java-order-service,10.07,318557388.8,29.67,39
1790097517.729,java-product-service,6.35,395837440.0,36.87,43
1790097517.729,java-user-service,149.52,404855193.6,37.70,99
1790097517.729,research-postgres,2.5,162948710.4,15.18,55
1790097517.729,research-redis,0.93,40328232.96,7.51,8
1790097521.885,java-order-service,5.96,318767104.0,29.69,39
1790097521.885,java-product-service,3.92,396152012.8,36.89,43
1790097521.885,java-user-service,157.29,405169766.4,37.73,100
1790097521.885,research-postgres,2.88,163158425.6,15.19,55
1790097521.885,research-redis,0.83,40149975.04,7.48,8
1790097526.070,java-order-service,8.73,319081676.8,29.72,39
1790097526.070,java-product-service,10.01,396361728.0,36.91,43
1790097526.070,java-user-service,152.95,405484339.2,37.76,100
1790097526.070,research-postgres,4.13,163472998.4,15.22,55
1790097526.070,research-redis,0.91,40485519.36,7.54,8
1790097530.202,java-order-service,11.13,319291392.0,29.74,39
1790097530.202,java-product-service,7.23,396256870.4,36.90,43
1790097530.202,java-user-service,148.04,405798912.0,37.80,100
1790097530.202,research-postgres,4.07,163682713.6,15.24,55
1790097530.202,research-redis,0.84,40149975.04,7.48,8
1790097534.360,java-order-service,5.28,319501107.2,29.75,39
1790097534.360,java-product-service,4.2,396152012.8,36.90,43
1790097534.360,java-user-service,118.38,414816665.6,38.63,100
1790097534.360,research-postgres,1.29,162948710.4,15.18,55
1790097534.360,research-redis,0.58,40139489.28,7.48,8
1790097538.470,java-order-service,2.12,319710822.4,29.78,39
1790097538.470,java-product-service,10.97,399612313.6,37.22,43
1790097538.470,java-user-service,69.56,408315494.4,38.03,99
1790097538.470,research-postgres,0.92,163263283.2,15.21,55
1790097538.470,research-redis,0.5,39940259.84,7.44,8
1790097542.599,java-order-service,3.79,320025395.2,29.80,39
1790097542.599,java-product-service,4.1,399822028.8,37.24,43
1790097542.599,java-user-service,48.56,408525209.6,38.05,99
1790097542.599,research-postgres,0.71,163368140.8,15.21,55
1790097542.599,research-redis,0.68,39625687.04,7.38,8
1790097546.782,java-order-service,1.6,320025395.2,29.80,39
1790097546.782,java-product-service,1.49,400660889.6,37.31,43
1790097546.782,java-user-service,17.33,408525209.6,38.05,99
1790097546.782,research-postgres,0.27,163263283.2,15.20,55
1790097546.782,research-redis,1.05,39478886.4,7.35,8
