t,k6_cpu_percent_of_one_core,k6_rss_bytes
1790105104.710,nan,56393728.0
1790105108.822,0.7200420938304442,58966016.0
1790105112.989,0.7199622914037285,60555264.0
1790105117.156,0.7207456719730216,62390272.0
1790105121.318,0.7222470760067763,64143360.0
1790105125.472,1.9366053581649345,66109440.0
1790105129.603,1.1986199665896753,66437120.0
1790105133.770,0.9632231142094503,66469888.0
1790105137.927,1.4461637001408074,66535424.0
1790105142.076,2.170632991575134,66977792.0
1790105146.222,1.4504823610924016,67305472.0
1790105150.358,1.6832797898661367,67387392.0
1790105154.517,2.6616852864597482,67469312.0
1790105158.650,1.9328097752349844,64126976.0
1790105162.789,2.1912386758507885,64176128.0
1790105166.896,3.1517000473223646,64307200.0
1790105171.021,2.4237945515498907,64438272.0
1790105175.138,3.164646377763441,64585728.0
1790105179.253,2.4249209226080164,64913408.0
1790105183.378,3.396709336484766,66027520.0
1790105187.494,3.4081918831524596,66338816.0
1790105191.602,2.6712943976998935,66633728.0
1790105195.726,3.1537284024708345,69533696.0
1790105199.839,3.8977986967505984,71139328.0
1790105203.944,2.9195802346075377,71221248.0
1790105208.056,4.139404298263975,73138176.0
1790105212.170,3.1586787041747564,73203712.0
1790105216.284,3.914381673547528,73891840.0
1790105221.390,3.1545144145919335,72843264.0
1790105225.510,4.138442812047359,73367552.0
1790105229.616,4.119916960493841,74432512.0
1790105233.750,3.4050177286879473,75104256.0
1790105237.861,4.135963317897535,75677696.0
1790105241.969,3.644265317577231,75776000.0
1790105246.088,4.602981665246448,76972032.0
1790105250.215,3.6375984200865505,76972032.0
1790105254.339,5.028254924562804,77266944.0
1790105258.516,3.131911991851482,77316096.0
1790105262.658,4.084754488805375,78233600.0
1790105266.828,3.137716745401215,78921728.0
1790105270.971,4.307982565267565,80134144.0
1790105275.148,2.8743196486009466,80035840.0
1790105279.324,2.8922527745007205,80150528.0
1790105283.468,3.368327727222184,81035264.0
1790105287.630,2.901052506351215,81051648.0
1790105291.760,4.092171111955907,82706432.0
1790105295.920,2.895860321114103,82952192.0
1790105300.064,2.912106276074954,82952192.0
1790105304.183,3.6433118599475867,83492864.0
1790105308.302,2.1816801048212433,83492864.0
1790105312.427,1.4299459110056836,83492864.0
1790105316.623,0.7188410804525921,83509248.0
