t,k6_cpu_percent_of_one_core,k6_rss_bytes
1790113745.862,nan,55705600.0
1790113749.978,0.48258691098015605,58114048.0
1790113754.122,0.7202829679163012,59965440.0
1790113758.287,0.7203368610221584,61718528.0
1790113762.450,0.9655569321916925,63537152.0
1790113766.593,1.9369826615902683,65208320.0
1790113770.725,0.9603417231595466,65306624.0
1790113774.890,1.210274829048807,65339392.0
1790113779.021,1.2106370860824693,65437696.0
1790113783.151,1.9256222625557966,65552384.0
1790113787.304,1.6925816935174507,64569344.0
1790113791.435,1.4584272311815165,64700416.0
1790113795.556,2.6688600320987357,64962560.0
1790113799.677,1.9438327956878672,62816256.0
1790113803.793,2.676313085865115,63340544.0
1790113807.903,2.1781368211154923,63225856.0
1790113812.035,2.6617464023105306,63488000.0
1790113816.168,2.433110693349744,63832064.0
1790113820.278,3.1509134340005365,64454656.0
1790113824.403,2.429536668689784,64487424.0
1790113828.519,3.639171654764295,65257472.0
1790113832.633,2.4192503924363837,65355776.0
1790113836.767,3.399545011788644,69795840.0
1790113840.893,2.6836278921186922,70156288.0
1790113844.984,3.422271758431565,71204864.0
1790113849.073,2.6736524832846507,71352320.0
1790113853.197,2.675604108651562,72105984.0
1790113857.308,3.144934085581893,73383936.0
1790113861.442,2.6752136177255657,73482240.0
1790113865.554,3.374457593648695,74399744.0
1790113869.702,2.422903781240935,74858496.0
1790113873.830,3.157920792910671,75218944.0
1790113877.946,3.140824026086498,75235328.0
1790113882.083,3.8588695902531076,75448320.0
1790113886.225,2.679675281790114,75464704.0
1790113890.327,3.393131585034532,75857920.0
1790113894.460,2.8865949440418683,76169216.0
1790113898.611,3.91026435256206,77660160.0
1790113902.702,3.6626460236711775,77856768.0
1790113906.797,2.438297068860788,78036992.0
1790113910.898,4.147475343831077,79822848.0
1790113915.001,2.9157665915184756,80035840.0
1790113919.117,3.4080482752112484,80445440.0
1790113923.229,2.6748967476218204,80904192.0
1790113927.343,3.624197863750415,82509824.0
1790113931.474,2.679014922809546,82657280.0
1790113935.588,3.890421250882914,83689472.0
1790113939.700,2.4236365677714846,83689472.0
1790113943.819,2.6826292489473107,83705856.0
1790113947.927,2.9089251315851095,83705856.0
1790113952.052,1.913368964624344,83705856.0
1790113956.233,0.9594993213189583,83722240.0
1790113960.403,0.0,0.0
