t,container,cpu_percent_of_one_core,mem_bytes,mem_percent_of_limit,pids
1790102954.798,research-postgres,2.51,94204067.84,8.77,17
1790102954.798,research-redis,2.59,39845888.0,7.42,8
1790102958.956,swift-order-service,0.33,9854517.248,0.92,70
1790102958.956,swift-user-service,31.25,13935575.04,1.30,76
1790102958.956,swift-product-service,2.89,13285457.92,1.24,78
1790102958.956,research-postgres,0.39,94308925.44,8.78,17
1790102958.956,research-redis,0.66,40034631.68,7.46,8
1790102963.106,swift-order-service,0.26,9854517.248,0.92,70
1790102963.106,swift-user-service,56.95,14113832.96,1.31,76
1790102963.106,swift-product-service,4.31,13201571.84,1.23,78
1790102963.106,research-postgres,0.5,93994352.64,8.75,17
1790102963.106,research-redis,0.8,40024145.92,7.46,8
1790102967.253,swift-order-service,0.27,9851371.52,0.92,70
1790102967.253,swift-user-service,11.37,14334033.92,1.34,76
1790102967.253,swift-product-service,4.4,13337886.72,1.24,78
1790102967.253,research-postgres,0.07,94266982.4,8.78,17
1790102967.253,research-redis,0.72,40024145.92,7.46,8
1790102971.383,swift-order-service,0.29,9441378.304,0.88,70
1790102971.383,swift-user-service,37.4,14313062.4,1.33,76
1790102971.383,swift-product-service,4.12,13400801.28,1.25,78
1790102971.383,research-postgres,1.07,93931438.08,8.75,17
1790102971.383,research-redis,0.84,39929774.08,7.44,8
1790102975.499,swift-order-service,0.27,9658433.536,0.90,70
1790102975.499,swift-user-service,30.22,14449377.28,1.35,76
1790102975.499,swift-product-service,3.48,13589544.96,1.27,78
1790102975.499,research-postgres,0.38,94246010.88,8.78,17
1790102975.499,research-redis,0.89,40181432.32,7.48,8
1790102979.602,swift-order-service,0.28,9650044.928,0.90,70
1790102979.602,swift-user-service,67.82,14638120.96,1.36,76
1790102979.602,swift-product-service,2.92,13505658.88,1.26,78
1790102979.602,research-postgres,0.28,94088724.48,8.76,17
1790102979.602,research-redis,0.83,40370176.0,7.52,8
1790102983.762,swift-order-service,1.45,10079961.088,0.94,70
1790102983.762,swift-user-service,60.02,14501806.08,1.35,76
1790102983.762,swift-product-service,1.85,13516144.64,1.26,78
1790102983.762,research-postgres,0.37,93868523.52,8.74,17
1790102983.762,research-redis,1.07,39699087.36,7.40,8
1790102987.894,swift-order-service,0.26,10010755.072,0.93,70
1790102987.894,swift-user-service,20.21,14375976.96,1.34,76
1790102987.894,swift-product-service,3.25,13474201.6,1.25,78
1790102987.894,research-postgres,0.37,93816094.72,8.74,17
1790102987.894,research-redis,1.04,40076574.72,7.46,8
1790102992.029,swift-order-service,0.24,10006560.768,0.93,70
1790102992.029,swift-user-service,40.03,14313062.4,1.33,77
1790102992.029,swift-product-service,3.74,13600030.72,1.27,78
1790102992.029,research-postgres,1.13,94371840.0,8.79,17
1790102992.029,research-redis,0.77,40254832.64,7.50,8
1790102996.195,swift-order-service,0.42,8687452.16,0.81,70
1790102996.195,swift-user-service,38.26,14847836.16,1.38,77
1790102996.195,swift-product-service,3.05,13547601.92,1.26,78
1790102996.195,research-postgres,2.71,94078238.72,8.76,17
1790102996.195,research-redis,2.56,39269171.2,7.31,8
1790103000.358,swift-order-service,0.47,9592373.248,0.89,70
1790103000.358,swift-user-service,47.56,14302576.64,1.33,77
1790103000.358,swift-product-service,3.67,13442744.32,1.25,78
1790103000.358,research-postgres,0.45,94204067.84,8.77,17
1790103000.358,research-redis,0.75,39992688.64,7.45,8
1790103004.507,swift-order-service,0.45,9555673.088,0.89,70
1790103004.507,swift-user-service,32.65,14732492.8,1.37,77
1790103004.507,swift-product-service,4.23,13589544.96,1.27,78
1790103004.507,research-postgres,2.52,94749327.36,8.82,17
1790103004.507,research-redis,0.89,40244346.88,7.50,8
1790103008.719,swift-order-service,0.26,9555673.088,0.89,70
1790103008.719,swift-user-service,37.75,14386462.72,1.34,77
1790103008.719,swift-product-service,5.12,13316915.2,1.24,78
1790103008.719,research-postgres,0.39,93931438.08,8.75,17
1790103008.719,research-redis,0.72,39646658.56,7.39,8
1790103012.893,swift-order-service,1.52,9924771.84,0.92,70
1790103012.893,swift-user-service,38.42,14323548.16,1.33,78
1790103012.893,swift-product-service,6.25,13558087.68,1.26,78
1790103012.893,research-postgres,0.45,94067752.96,8.76,17
1790103012.893,research-redis,0.72,39887831.04,7.43,8
1790103017.064,swift-order-service,0.23,9645850.624,0.90,70
1790103017.064,swift-user-service,36.84,14543749.12,1.35,78
1790103017.064,swift-product-service,3.47,13505658.88,1.26,78
1790103017.064,research-postgres,0.24,94350868.48,8.79,17
1790103017.064,research-redis,0.78,40349204.48,7.52,8
1790103021.235,swift-order-service,0.28,9641656.32,0.90,70
1790103021.235,swift-user-service,37.28,14491320.32,1.35,78
1790103021.235,swift-product-service,4.41,13673431.04,1.27,78
1790103021.235,research-postgres,0.48,94246010.88,8.78,17
1790103021.235,research-redis,0.82,40055603.2,7.46,8
1790103025.382,swift-order-service,0.3,9641656.32,0.90,70
1790103025.382,swift-user-service,18.78,14417920.0,1.34,78
1790103025.382,swift-product-service,3.59,13621002.24,1.27,78
1790103025.382,research-postgres,2.05,93973381.12,8.75,17
1790103025.382,research-redis,1.58,40349204.48,7.52,8
1790103029.533,swift-order-service,1.58,9596567.552,0.89,70
1790103029.533,swift-user-service,68.84,14134804.48,1.32,78
1790103029.533,swift-product-service,2.98,14271119.36,1.33,78
1790103029.533,research-postgres,0.55,94413783.04,8.79,17
1790103029.533,research-redis,0.71,40034631.68,7.46,8
1790103033.664,swift-order-service,0.28,9441378.304,0.88,70
1790103033.664,swift-user-service,0.61,14344519.68,1.34,78
1790103033.664,swift-product-service,5.86,14145290.24,1.32,78
1790103033.664,research-postgres,0.43,94246010.88,8.78,17
1790103033.664,research-redis,1.01,39688601.6,7.39,8
1790103037.789,swift-order-service,0.19,9682550.784,0.90,70
1790103037.789,swift-user-service,56.86,14753464.32,1.37,78
1790103037.789,swift-product-service,1.88,14082375.68,1.31,78
1790103037.789,research-postgres,0.37,94487183.36,8.80,17
1790103037.789,research-redis,0.84,40013660.16,7.45,8
1790103041.931,swift-order-service,0.26,9678356.48,0.90,70
1790103041.931,swift-user-service,45.2,14701035.52,1.37,78
1790103041.931,swift-product-service,4.2,13725859.84,1.28,78
1790103041.931,research-postgres,0.41,94633984.0,8.81,17
1790103041.931,research-redis,0.95,39646658.56,7.39,8
1790103046.080,swift-order-service,0.28,9720299.52,0.91,70
1790103046.080,swift-user-service,7.84,14208204.8,1.32,78
1790103046.080,swift-product-service,6.44,13788774.4,1.28,78
1790103046.080,research-postgres,0.13,94004838.4,8.76,17
1790103046.080,research-redis,2.55,39678115.84,7.39,8
1790103050.237,swift-order-service,0.27,9716105.216,0.90,70
1790103050.237,swift-user-service,37.54,14417920.0,1.34,78
1790103050.237,swift-product-service,3.35,13988003.84,1.30,78
1790103050.237,research-postgres,0.38,94246010.88,8.78,17
1790103050.237,research-redis,0.57,39824916.48,7.42,8
1790103054.401,swift-order-service,0.38,9015656.448,0.84,70
1790103054.401,swift-user-service,38.08,14952693.76,1.39,79
1790103054.401,swift-product-service,6.18,14029946.88,1.31,78
1790103054.401,research-postgres,1.89,96049561.6,8.95,18
1790103054.401,research-redis,0.97,40034631.68,7.46,8
1790103058.541,swift-order-service,0.21,9277800.448,0.86,70
1790103058.541,swift-user-service,65.4,14459863.04,1.35,78
1790103058.541,swift-product-service,4.86,13778288.64,1.28,78
1790103058.541,research-postgres,1.94,96039075.84,8.94,18
1790103058.541,research-redis,0.63,39751516.16,7.40,8
1790103062.716,swift-order-service,0.26,9871294.464,0.92,70
1790103062.716,swift-user-service,34.37,14396948.48,1.34,78
1790103062.716,swift-product-service,5.65,13925089.28,1.30,78
1790103062.716,research-postgres,0.3,96091504.64,8.95,18
1790103062.716,research-redis,0.91,40003174.4,7.45,8
1790103066.893,swift-order-service,0.29,10125049.856,0.94,70
1790103066.893,swift-user-service,7.74,14313062.4,1.33,78
1790103066.893,swift-product-service,5.83,13893632.0,1.29,78
1790103066.893,research-postgres,0.12,95923732.48,8.93,18
1790103066.893,research-redis,0.82,39730544.64,7.40,8
1790103071.046,swift-order-service,0.34,10120855.552,0.94,70
1790103071.046,swift-user-service,36.68,14711521.28,1.37,78
1790103071.046,swift-product-service,6.03,14113832.96,1.31,78
1790103071.046,research-postgres,0.32,95661588.48,8.91,18
1790103071.046,research-redis,0.78,40202403.84,7.49,8
1790103075.195,swift-order-service,0.3,9662627.84,0.90,70
1790103075.195,swift-user-service,37.49,14124318.72,1.32,78
1790103075.195,swift-product-service,5.15,14197719.04,1.32,78
1790103075.195,research-postgres,1.59,96720650.24,9.01,18
1790103075.195,research-redis,0.78,39898316.8,7.43,8
1790103079.352,swift-order-service,0.34,9658433.536,0.90,70
1790103079.352,swift-user-service,68.15,14575206.4,1.36,78
1790103079.352,swift-product-service,3.93,14355005.44,1.34,78
1790103079.352,research-postgres,0.58,96133447.68,8.95,18
1790103079.352,research-redis,0.89,39583744.0,7.37,8
1790103083.519,swift-order-service,0.2,9658433.536,0.90,70
1790103083.519,swift-user-service,69.8,14470348.8,1.35,78
1790103083.519,swift-product-service,4.03,14008975.36,1.30,78
1790103083.519,research-postgres,0.15,95976161.28,8.94,18
1790103083.519,research-redis,0.63,39814430.72,7.42,8
1790103087.663,swift-order-service,0.31,9654239.232,0.90,70
1790103087.663,swift-user-service,0.4,14396948.48,1.34,78
1790103087.663,swift-product-service,8.47,13872660.48,1.29,78
1790103087.663,research-postgres,0.45,96259276.8,8.96,18
1790103087.663,research-redis,0.86,40129003.52,7.47,8
1790103091.801,swift-order-service,0.26,9191817.216,0.86,70
1790103091.801,swift-user-service,7.58,14701035.52,1.37,78
1790103091.801,swift-product-service,3.28,13872660.48,1.29,78
1790103091.801,research-postgres,0.38,95902760.96,8.93,18
1790103091.801,research-redis,0.55,39688601.6,7.39,8
1790103095.966,swift-order-service,0.11,9179234.304,0.85,70
1790103095.966,swift-user-service,61.01,14638120.96,1.36,78
1790103095.966,swift-product-service,2.51,13851688.96,1.29,78
1790103095.966,research-postgres,0.41,96206848.0,8.96,18
1790103095.966,research-redis,2.64,39730544.64,7.40,8
1790103100.106,swift-order-service,0.17,9179234.304,0.85,70
1790103100.106,swift-user-service,20.27,14606663.68,1.36,78
1790103100.106,swift-product-service,4.82,13788774.4,1.28,78
1790103100.106,research-postgres,0.19,96154419.2,8.95,18
1790103100.106,research-redis,0.96,39646658.56,7.38,8
1790103104.259,swift-order-service,0.3,9281994.752,0.86,70
1790103104.259,swift-user-service,8.2,14470348.8,1.35,78
1790103104.259,swift-product-service,1.94,13683916.8,1.27,78
1790103104.259,research-postgres,0.05,95829360.64,8.92,18
1790103104.259,research-redis,0.51,39887831.04,7.43,8
1790103108.426,swift-order-service,0.29,9261023.232,0.86,70
1790103108.426,swift-user-service,10.28,14617149.44,1.36,78
1790103108.426,swift-product-service,4.03,13579059.2,1.26,78
1790103108.426,research-postgres,0.2,95693045.76,8.91,18
1790103108.426,research-redis,0.96,39667630.08,7.39,8
1790103112.571,swift-order-service,0.28,9510584.32,0.89,70
1790103112.571,swift-user-service,0.42,14596177.92,1.36,78
1790103112.571,swift-product-service,3.01,13568573.44,1.26,78
1790103112.571,research-postgres,1.02,95902760.96,8.93,18
1790103112.571,research-redis,1.07,39573258.24,7.37,8
1790103116.740,swift-order-service,0.25,9301917.696,0.87,70
1790103116.740,swift-user-service,7.32,15151923.2,1.41,78
1790103116.740,swift-product-service,1.33,13988003.84,1.30,78
1790103116.740,research-postgres,0.13,95577702.4,8.90,18
1790103116.740,research-redis,2.01,39720058.88,7.40,8
1790103120.926,swift-order-service,0.18,9690939.392,0.90,70
1790103120.926,swift-user-service,7.93,14459863.04,1.35,78
1790103120.926,swift-product-service,1.25,13925089.28,1.30,78
1790103120.926,research-postgres,0.29,95724503.04,8.91,18
1790103120.926,research-redis,0.79,39919288.32,7.44,8
