t,service,latency_ms
1790096857.923,java-user-service,19.528
1790096857.936,java-product-service,11.730
1790096857.952,java-order-service,15.071
1790096862.984,java-user-service,20.424
1790096863.001,java-product-service,11.839
1790096863.012,java-order-service,8.131
1790096868.034,java-user-service,19.233
1790096868.048,java-product-service,10.047
1790096868.059,java-order-service,8.799
1790096873.081,java-user-service,15.829
1790096873.099,java-product-service,12.694
1790096873.113,java-order-service,10.654
1790096878.132,java-user-service,7.638
1790096878.143,java-product-service,6.596
1790096878.154,java-order-service,6.179
1790096883.186,java-user-service,19.883
1790096883.204,java-product-service,11.663
1790096883.219,java-order-service,10.615
1790096888.240,java-user-service,10.111
1790096888.252,java-product-service,7.534
1790096888.263,java-order-service,6.189
1790096893.276,java-user-service,9.863
1790096893.288,java-product-service,6.974
1790096893.297,java-order-service,6.858
1790096898.306,java-user-service,6.417
1790096898.315,java-product-service,4.979
1790096898.326,java-order-service,6.108
1790096903.340,java-user-service,7.728
1790096903.349,java-product-service,5.445
1790096903.358,java-order-service,6.474
1790096908.367,java-user-service,5.846
1790096908.378,java-product-service,7.232
1790096908.387,java-order-service,6.431
1790096913.409,java-user-service,8.909
1790096913.423,java-product-service,9.836
1790096913.432,java-order-service,6.250
1790096918.460,java-user-service,17.336
1790096918.474,java-product-service,10.653
1790096918.490,java-order-service,13.526
1790096923.506,java-user-service,6.802
1790096923.517,java-product-service,5.900
1790096923.526,java-order-service,6.466
1790096928.543,java-user-service,10.255
1790096928.557,java-product-service,8.753
1790096928.570,java-order-service,8.751
1790096933.581,java-user-service,6.834
1790096933.591,java-product-service,6.606
1790096933.599,java-order-service,5.810
1790096938.617,java-user-service,12.946
1790096938.626,java-product-service,6.583
1790096938.639,java-order-service,7.319
1790096943.658,java-user-service,9.370
1790096943.671,java-product-service,8.958
1790096943.684,java-order-service,9.837
1790096948.696,java-user-service,8.162
1790096948.709,java-product-service,7.701
1790096948.721,java-order-service,7.457
1790096953.748,java-user-service,15.434
1790096953.764,java-product-service,11.361
1790096953.776,java-order-service,7.996
1790096958.791,java-user-service,12.717
1790096958.802,java-product-service,8.791
1790096958.809,java-order-service,6.117
1790096963.822,java-user-service,6.254
1790096963.833,java-product-service,5.097
1790096963.840,java-order-service,4.783
1790096968.868,java-user-service,22.265
1790096968.881,java-product-service,8.743
1790096968.935,java-order-service,48.343
1790096973.953,java-user-service,15.348
1790096973.971,java-product-service,13.109
1790096973.981,java-order-service,7.425
1790096979.005,java-user-service,15.637
1790096979.020,java-product-service,11.789
1790096979.033,java-order-service,8.862
1790096984.053,java-user-service,15.479
1790096984.068,java-product-service,8.846
1790096984.082,java-order-service,9.314
1790096989.100,java-user-service,14.353
1790096989.115,java-product-service,10.500
1790096989.129,java-order-service,9.853
1790096994.154,java-user-service,21.319
1790096994.170,java-product-service,10.704
1790096994.181,java-order-service,7.949
1790096999.200,java-user-service,14.901
1790096999.212,java-product-service,9.028
1790096999.224,java-order-service,7.197
1790097004.250,java-user-service,18.017
1790097004.266,java-product-service,11.940
1790097004.275,java-order-service,6.701
1790097009.306,java-user-service,20.934
1790097009.324,java-product-service,13.316
1790097009.336,java-order-service,9.364
