scenario,config,quantity,definition,n,median_mb,iqr_mb,ci95_low_mb,ci95_high_mb
spike,vapor,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,47.8,0.5,47.5,48.4
spike,boot-t200,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,1054.2,49.2,998.6,1060.7
spike,boot-t200,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,1067.3,54.3,1011.5,1098.9
spike,boot-t200,jvm_heap_used_steady_bytes,"JVM used heap, steady state, summed over the three services (JVM only)",5,69.2,10.9,61.6,75.0
spike,boot-t200,jvm_heap_used_peak_bytes,"JVM used heap, peak, summed over the three services (JVM only)",5,115.4,18.0,93.3,124.1
spike,boot-t200,jvm_heap_committed_steady_bytes,"JVM committed heap, steady state, summed over the three services (JVM only)",5,99.0,10.0,91.0,123.0
spike,boot-t200,jvm_heap_committed_peak_bytes,"JVM committed heap, peak, summed over the three services (JVM only)",5,126.0,19.0,104.0,143.0
spike,boot-t64,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,1034.4,24.5,998.3,1122.6
spike,boot-t64,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,1040.9,44.4,1011.8,1137.7
spike,boot-t64,jvm_heap_used_steady_bytes,"JVM used heap, steady state, summed over the three services (JVM only)",5,68.0,5.5,60.5,74.8
spike,boot-t64,jvm_heap_used_peak_bytes,"JVM used heap, peak, summed over the three services (JVM only)",5,115.1,12.8,100.3,126.3
spike,boot-t64,jvm_heap_committed_steady_bytes,"JVM committed heap, steady state, summed over the three services (JVM only)",5,99.0,20.0,88.0,137.0
spike,boot-t64,jvm_heap_committed_peak_bytes,"JVM committed heap, peak, summed over the three services (JVM only)",5,130.0,13.0,113.0,168.0
spike,boot-vt,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,1044.3,4.7,1032.7,1061.6
spike,boot-vt,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,1058.2,6.2,1048.7,1068.0
spike,boot-vt,jvm_heap_used_steady_bytes,"JVM used heap, steady state, summed over the three services (JVM only)",5,73.7,6.6,65.5,73.9
spike,boot-vt,jvm_heap_used_peak_bytes,"JVM used heap, peak, summed over the three services (JVM only)",5,123.0,11.5,105.6,133.7
spike,boot-vt,jvm_heap_committed_steady_bytes,"JVM committed heap, steady state, summed over the three services (JVM only)",5,117.0,10.0,112.0,135.0
spike,boot-vt,jvm_heap_committed_peak_bytes,"JVM committed heap, peak, summed over the three services (JVM only)",5,137.0,13.0,125.0,143.0
soak,vapor,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,35.7,0.1,35.5,35.9
soak,vapor,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,37.8,0.3,37.6,52.4
soak,boot-t200,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,1030.1,13.0,979.4,1037.2
soak,boot-t200,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,1045.8,13.4,998.6,1053.4
soak,boot-t200,jvm_heap_used_steady_bytes,"JVM used heap, steady state, summed over the three services (JVM only)",5,65.3,4.5,59.5,67.1
soak,boot-t200,jvm_heap_used_peak_bytes,"JVM used heap, peak, summed over the three services (JVM only)",5,110.0,3.8,99.1,119.6
soak,boot-t200,jvm_heap_committed_steady_bytes,"JVM committed heap, steady state, summed over the three services (JVM only)",5,107.0,24.0,90.0,123.0
soak,boot-t200,jvm_heap_committed_peak_bytes,"JVM committed heap, peak, summed over the three services (JVM only)",5,124.0,7.0,108.0,144.0
soak,boot-t64,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,1017.2,42.0,948.7,1036.6
soak,boot-t64,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,1040.8,45.0,967.7,1059.4
soak,boot-t64,jvm_heap_used_steady_bytes,"JVM used heap, steady state, summed over the three services (JVM only)",5,61.2,5.0,57.2,63.8
soak,boot-t64,jvm_heap_used_peak_bytes,"JVM used heap, peak, summed over the three services (JVM only)",5,117.0,5.6,95.6,124.0
soak,boot-t64,jvm_heap_committed_steady_bytes,"JVM committed heap, steady state, summed over the three services (JVM only)",5,100.0,12.0,91.0,119.0
soak,boot-t64,jvm_heap_committed_peak_bytes,"JVM committed heap, peak, summed over the three services (JVM only)",5,132.0,22.0,105.0,153.0
soak,boot-vt,rss_steady_bytes,"Resident set size, steady state, summed over the three service containers, from docker stats",5,1012.3,55.3,952.8,1028.2
soak,boot-vt,rss_peak_bytes,"Resident set size, peak, summed over the three service containers, from docker stats",5,1032.9,72.1,976.1,1060.7
soak,boot-vt,jvm_heap_used_steady_bytes,"JVM used heap, steady state, summed over the three services (JVM only)",5,62.0,3.0,58.7,64.2
soak,boot-vt,jvm_heap_used_peak_bytes,"JVM used heap, peak, summed over the three services (JVM only)",5,97.3,17.4,92.2,111.6
soak,boot-vt,jvm_heap_committed_steady_bytes,"JVM committed heap, steady state, summed over the three services (JVM only)",5,102.0,14.0,89.0,113.0
soak,boot-vt,jvm_heap_committed_peak_bytes,"JVM committed heap, peak, summed over the three services (JVM only)",5,120.0,26.0,101.0,131.0
