run_id,config,scenario,repetition,target,k6_returncode,server_metrics_incomplete,k6_wall_seconds,window_seconds,finished_iso,iterations,vus_max,error_count,server_request_count,probe_samples,probe_failures,cpu_quota_percent,tomcat_threads_max_config,db_pool_active_peak,swift_rss_internal_bytes,server_throughput_p90_rps,client_p50_ms,client_p95_ms,client_p99_ms,client_max_ms,server_p50_ms,server_p95_ms,server_p99_ms,server_mean_ms,throughput_rps,requests_total,error_rate,rss_peak_bytes,rss_steady_bytes,cpu_mean_percent_of_one_core,jvm_heap_used_steady_bytes,jvm_heap_used_peak_bytes,jvm_heap_committed_steady_bytes,jvm_heap_committed_peak_bytes,gc_pause_count,gc_pause_total_seconds,tomcat_busy_threads_median,tomcat_busy_threads_peak,db_pool_pending_median,db_pool_pending_peak,db_wait_mean_ms,probe_p50_ms,probe_p95_ms,probe_p99_ms,k6_cpu_mean_percent_of_one_core,k6_cpu_peak_percent_of_one_core,k6_rss_peak_bytes,server_throughput_peak_rps,ep_get_users_p95_ms,ep_get_products_p95_ms,ep_post_users_p95_ms,ep_post_orders_p95_ms
boot-vt_soak_rep5,boot-vt,soak,5,java,0,0,241.66660404205322,243.47054600715637,2026-09-23T05:04:40,5940.0,30.0,0.0,5950.0,1335,0,450.0,,13.0,,36.6,4.258,449.7603,697.83278,809.636,2.1584841395348837,405.1737042042254,683.2055166770834,58.31648154336135,24.62767046143689,5940.0,0.0,1026870476.8000001,1009149542.4,45.04389830508474,62980600.0,96729176.0,93323264.0,105906176.0,16.0,0.12000000000000001,,,0.0,0.0,10.76137478839733,6.602,14.899399999999996,222.00658000000055,1.6496671023064962,2.1983947977540104,52674560.0,37.2,,8.357499999999998,697.712,
vapor_soak_rep1,vapor,soak,1,swift,0,0,240.78654599189758,242.66482305526733,2026-09-22T23:48:37,6173.0,30.0,0.0,6183.0,1410,0,450.0,,,49061888.0,30.0,3.457,124.63279999999985,267.86591999999996,357.67,1.960091069796954,124.51090931607101,258.6712484114286,22.59544920718098,25.687732549299184,6173.0,0.0,39527120.896,37396414.464,35.73542372881356,,,,,,,,,,,,2.8655,5.759449999999999,34.203750000000454,1.7836361234981293,2.65764038408167,53575680.0,30.0,,5.6829,267.55035,
vapor_soak_rep2,vapor,soak,2,swift,0,0,241.79204392433167,243.70626711845398,2026-09-23T01:52:04,6201.0,30.0,0.0,6211.0,1413,0,450.0,,,49041408.0,30.0,2.935,89.775,183.089,364.05,1.7048209957770268,88.93001503325925,183.01293449184232,18.725796795041052,25.69344509665668,6201.0,0.0,39631978.496,37621858.304,35.74762711864407,,,,,,,,,,,,2.946,5.7264,36.917279999999735,1.7499426188612182,2.4379105865481856,52903936.0,30.0,,5.22365,183.08419999999998,
vapor_soak_rep3,vapor,soak,3,swift,0,0,240.74926614761353,242.64431476593018,2026-09-23T02:39:49,6187.0,30.0,0.0,6197.0,1410,0,450.0,,,49180672.0,30.0,3.696,93.35719999999999,191.62396,393.741,2.0885805575692964,95.27173380792678,193.87803881702374,20.414448005970627,25.75109861295601,6187.0,0.0,54906585.088,37262196.736,35.82220338983051,,,,,,,,,,,,2.9465000000000003,5.6281,12.903380000000034,1.8002321277864268,2.4678397999700157,55672832.0,30.0,,5.478899999999996,191.28599999999994,
vapor_soak_rep4,vapor,soak,4,swift,0,0,240.90579414367676,242.91245484352112,2026-09-23T03:27:30,6180.0,30.0,0.0,6190.0,1407,0,450.0,,,49070080.0,30.0,3.759,104.70534999999997,223.52038,303.989,2.1932149534883716,103.04208127027027,210.42356920666722,21.707584334087237,25.701551183851084,6180.0,0.0,39827013.632,37504417.792,37.3771186440678,,,,,,,,,,,,3.021,5.7985,29.473000000000074,1.8155843958260738,2.414991021018632,53018624.0,30.0,,5.28265,220.93219999999974,
vapor_soak_rep5,vapor,soak,5,swift,0,0,241.68256998062134,243.57366013526917,2026-09-23T04:15:28,6175.0,30.0,0.0,6185.0,1413,0,450.0,,,48852992.0,30.0,3.198,98.39169999999996,236.67893999999953,469.466,1.8381058758865247,98.61174454861111,238.096654518749,21.849701733872276,25.602163507613984,6175.0,0.0,39442186.24,37388025.856,37.512542372881356,,,,,,,,,,,,2.974,5.7174,25.34099999999977,1.7396376333905363,2.4369102983952953,53919744.0,30.0,,5.2623999999999995,234.01514999999992,
boot-t200_spike_rep1,boot-t200,spike,1,java,0,0,151.25502181053162,153.09383392333984,2026-09-23T00:10:11,32333.0,200.0,0.0,64676.0,873,0,450.0,200.0,0.0,,984.22,3.297,17.992749999999997,56.368099999999984,837.896,1.0651462506821283,4.529918673299746,10.055658481842086,2.1668651788143976,428.96569886363824,64666.0,0.0,1152280166.4,1108554547.2,48.55081081081081,78618232.0,121047528.0,114294784.0,132120576.0,129.0,0.75,1.0,4.0,0.0,0.0,17.737271829113926,5.675,10.965,19.621319999999997,13.126510202490254,28.604030392425884,128663552.0,1004.8,22.305,12.358199999999995,,
boot-t200_spike_rep2,boot-t200,spike,2,java,0,0,150.8706350326538,152.73994421958923,2026-09-23T00:59:25,32421.0,200.0,0.0,64852.0,873,0,450.0,200.0,1.0,,990.3199999999999,3.098,14.968949999999996,22.547359999999998,971.409,0.9947541184771604,4.338516797340792,8.86704862927443,2.4938925089588606,431.07801941077,64842.0,0.0,1060634624.0,1047107993.6,51.2891891891892,66992608.0,97862312.0,103809024.0,109051904.0,158.0,0.75,1.0,2.0,0.0,0.0,47.62748424229979,5.69,10.3972,14.94795999999998,13.644733932866139,28.458929217905947,129597440.0,1007.0,17.552,11.102,,
boot-t200_spike_rep3,boot-t200,spike,3,java,0,0,150.8179121017456,152.64802312850952,2026-09-23T02:51:27,32548.0,200.0,0.0,65106.0,876,0,450.0,200.0,1.0,,990.74,3.498,16.44925,24.510299999999997,40.585,1.077552581697095,4.04435024642857,8.365831483709686,1.5508368478942034,432.9894542829625,65096.0,0.0,1119145164.8000002,1105408819.2,49.40081081081081,72530368.0,130176504.0,103809024.0,149946368.0,151.0,0.745,1.0,5.0,0.0,0.0,0.18100457807308967,5.893,10.339500000000001,18.096,13.567640356343281,28.630116086876306,127647744.0,1006.6,19.51219999999999,11.853299999999997,,
boot-t200_spike_rep4,boot-t200,spike,4,java,0,0,150.91340374946594,154.87901210784912,2026-09-23T03:39:08,32562.0,200.0,0.0,65134.0,876,0,450.0,200.0,1.0,,987.68,3.533,15.309,23.123619999999995,71.873,1.0865883286065863,4.064983757540261,8.163174636143774,1.5660240428194185,432.8591428466411,65124.0,0.0,1124597760.0,1112172134.4,46.55657894736842,78418024.0,126430712.0,128974848.0,137363456.0,101.0,0.652,1.0,6.0,0.0,0.0,1.1673818843612334,5.7065,10.294500000000001,12.754999999999999,13.350163906406333,29.552454160510443,133529600.0,993.4,18.09364999999999,11.978849999999994,,
boot-t200_spike_rep5,boot-t200,spike,5,java,0,0,151.08822679519653,152.90621519088745,2026-09-23T04:27:09,32581.0,200.0,0.0,65172.0,876,0,450.0,200.0,0.0,,983.94,3.166,14.379849999999992,21.65384999999999,338.873,1.1020347676570872,4.499873486853059,9.303867764881884,1.8063675327134354,432.7089073708299,65162.0,0.0,1067660083.1999999,1056964608.0,48.03432432432432,64622776.0,107515968.0,95420416.0,117440512.0,122.0,0.71,1.0,3.0,0.0,0.0,4.811934774364406,5.7935,10.600999999999999,15.202,13.532255663731332,28.88142015975907,128696320.0,1005.6,17.149,10.36,,
boot-t64_spike_rep1,boot-t64,spike,1,java,0,0,150.90799808502197,154.62046694755554,2026-09-23T00:26:51,32509.0,200.0,0.0,65028.0,873,0,450.0,64.0,0.0,,986.8199999999999,3.53,14.835,22.43049,501.112,1.0796533315217391,3.86587555609756,7.619472969021283,1.797333436412007,432.3689261244776,65018.0,0.0,1192964915.2,1177078988.8000002,46.46368421052631,78461920.0,132387496.0,143654912.0,146800640.0,88.0,0.46399999999999997,1.0,8.0,0.0,0.0,16.822226863684772,5.724,10.408199999999999,14.255279999999983,12.422317474971868,27.910605386386706,129122304.0,1001.4,17.201,12.257799999999996,,
boot-t64_spike_rep2,boot-t64,spike,2,java,0,0,150.9552140235901,152.80453300476074,2026-09-23T01:15:56,32581.0,200.0,0.0,65172.0,876,0,450.0,64.0,0.0,,986.6600000000001,3.326,14.424,22.601509999999994,202.248,1.0272998900427612,3.7734235152253324,7.9067281886666585,1.5617964145798808,433.0136571013612,65162.0,0.0,1091462758.4,1084647014.4,47.239459459459454,71469320.0,121573376.0,103809024.0,133169152.0,95.0,0.524,1.0,5.0,0.0,0.0,4.22385846585903,5.8825,10.255,12.969999999999999,13.838506547115742,28.537819909454438,130957312.0,1001.6,16.538,11.353,,
boot-t64_spike_rep3,boot-t64,spike,3,java,0,0,150.8348479270935,152.67498207092285,2026-09-23T02:03:45,32440.0,200.0,0.0,64890.0,873,0,450.0,64.0,0.0,,986.98,3.595,16.39605,25.709,634.22,1.0707284436509708,4.051084011644833,9.057024949999988,2.028878966142703,431.3654028777338,64880.0,0.0,1124597760.0,1094608486.4,46.96054054054054,71270728.0,105180256.0,118489088.0,176160768.0,116.0,0.734,1.0,12.0,0.0,0.0,23.43887401936799,5.993,10.1778,13.884839999999999,13.30825467768253,28.3715928377353,129843200.0,999.6,19.687249999999995,11.915,,
boot-t64_spike_rep4,boot-t64,spike,4,java,0,0,151.0758707523346,152.89997100830078,2026-09-23T03:55:37,32451.0,200.0,0.0,64912.0,876,0,450.0,64.0,0.0,,987.1600000000001,3.292,15.894,26.983729999999987,885.547,1.0332929895126466,3.8134606890862917,8.922352617058804,2.140803312053241,430.92780445430833,64902.0,0.0,1078040985.6,1068918374.4,44.67162162162161,65698072.0,120701168.0,92274688.0,136314880.0,94.0,0.579,1.0,12.0,0.0,0.0,31.442110622489956,5.9085,10.65775,17.358999999999998,13.615468881564793,28.49043081354152,131973120.0,1005.2,18.524999999999984,11.175499999999996,,
boot-t64_spike_rep5,boot-t64,spike,5,java,0,0,151.20853805541992,154.75875401496887,2026-09-23T04:43:47,32496.0,200.0,0.0,65002.0,873,0,450.0,64.0,0.0,,984.64,3.11,14.480449999999998,24.404689999999977,855.593,0.9803336048019788,3.6964741845637556,8.38330565048325,1.9829037694686313,431.1066133712619,64992.0,0.0,1060949196.8,1046793420.8,51.02184210526316,63397592.0,108120984.0,97517568.0,118489088.0,118.0,0.76,1.0,18.0,0.0,0.0,24.65690052464066,5.78,10.934,16.69608,13.305680407680208,29.185325987413464,127844352.0,1002.6,17.172,10.689249999999998,,
boot-vt_spike_rep1,boot-vt,spike,1,java,0,0,151.15578603744507,153.0168628692627,2026-09-23T00:43:00,32701.0,200.0,0.0,65412.0,876,0,450.0,,1.0,,1001.2,2.512,13.792949999999996,25.25465999999998,89.948,1.0498520436507937,7.0276910946596765,14.66395294499998,2.0709982150675716,434.2132617302595,65402.0,0.0,1119879168.0,1113168281.6000001,40.418648648648656,77271920.0,128934536.0,131072000.0,143654912.0,107.0,0.487,,,0.0,0.0,0.5391759480249481,5.8725000000000005,10.74375,14.98725,13.847618323231877,28.234912673380823,127942656.0,1006.6,17.712,7.988,,
boot-vt_spike_rep2,boot-vt,spike,2,java,0,0,151.10203289985657,152.94953274726868,2026-09-23T01:32:04,32675.0,200.0,0.0,65360.0,876,0,450.0,,1.0,,988.4200000000001,2.9565,14.65,21.169199999999986,47.274,1.2101996526268117,6.604822965517241,11.955317995555562,2.0365747029528767,433.83651287588265,65350.0,0.0,1099641651.2,1082812006.4,44.825945945945946,68717512.0,125975952.0,117440512.0,136314880.0,140.0,0.599,,,0.0,0.0,0.7275469933184855,5.9745,10.7745,14.016,13.62344367304462,29.03047837962337,129138688.0,1002.8,16.739499999999992,10.510599999999997,,
boot-vt_spike_rep3,boot-vt,spike,3,java,0,0,151.0278549194336,152.8637180328369,2026-09-23T02:19:55,32564.0,200.0,0.0,65138.0,873,0,450.0,,0.0,,995.36,2.561,14.220949999999991,28.260469999999977,514.425,1.1020384878218512,6.681691736973178,13.92193891801327,2.5387920839295033,432.53330235131807,65128.0,0.0,1109603123.2,1095027916.8,45.857837837837835,70435976.0,138027208.0,141557760.0,149946368.0,105.0,0.532,,,0.0,0.0,22.00039350584795,5.592,12.320799999999997,21.78395999999999,13.434320226807182,28.92625962873916,123043840.0,1006.6,16.89885,8.882249999999992,,
