scenario,metric,config_a,config_b,n_a,n_b,median_a,median_b,U,p_value,rank_biserial,vargha_delaney_a12,significant_at_0.05,direction
stress,error_rate,vapor,boot-t64,5,5,0.0948,0.0000,25.0,0.00794,1.000,1.000,yes,vapor higher
stress,error_rate,vapor,boot-vt,5,5,0.0948,0.0001,25.0,0.00794,1.000,1.000,yes,vapor higher
stress,probe_p95_ms,vapor,boot-t200,5,5,2185.1666,1474.7401,19.0,0.22222,0.520,0.760,no,vapor higher
stress,probe_p95_ms,vapor,boot-t64,5,5,2185.1666,2139.0560,13.0,1.00000,0.040,0.520,no,vapor higher
stress,probe_p95_ms,vapor,boot-vt,5,5,2185.1666,4113.0425,0.0,0.00794,-1.000,0.000,yes,vapor lower
spike,client_p95_ms,vapor,boot-t200,5,5,14.7289,15.3090,7.0,0.30952,-0.440,0.280,no,vapor lower
spike,client_p95_ms,vapor,boot-t64,5,5,14.7289,14.8350,8.0,0.42063,-0.360,0.320,no,vapor lower
spike,client_p95_ms,vapor,boot-vt,5,5,14.7289,13.8004,17.0,0.42063,0.360,0.680,no,vapor higher
spike,client_p99_ms,vapor,boot-t200,5,5,40.2733,23.1236,20.0,0.15079,0.600,0.800,no,vapor higher
spike,client_p99_ms,vapor,boot-t64,5,5,40.2733,24.4047,25.0,0.00794,1.000,1.000,yes,vapor higher
spike,client_p99_ms,vapor,boot-vt,5,5,40.2733,21.4072,25.0,0.00794,1.000,1.000,yes,vapor higher
spike,server_p95_ms,vapor,boot-t200,5,5,8.3813,4.3385,25.0,0.00794,1.000,1.000,yes,vapor higher
spike,server_p95_ms,vapor,boot-t64,5,5,8.3813,3.8135,25.0,0.00794,1.000,1.000,yes,vapor higher
spike,server_p95_ms,vapor,boot-vt,5,5,8.3813,6.6048,25.0,0.00794,1.000,1.000,yes,vapor higher
spike,throughput_rps,vapor,boot-t200,5,5,431.2844,432.7089,8.0,0.42063,-0.360,0.320,no,vapor lower
spike,throughput_rps,vapor,boot-t64,5,5,431.2844,431.3654,8.0,0.42063,-0.360,0.320,no,vapor lower
spike,throughput_rps,vapor,boot-vt,5,5,431.2844,433.8365,0.0,0.00794,-1.000,0.000,yes,vapor lower
spike,rss_steady_bytes,vapor,boot-t200,5,5,47819259.9040,1105408819.2000,0.0,0.00794,-1.000,0.000,yes,vapor lower
spike,rss_steady_bytes,vapor,boot-t64,5,5,47819259.9040,1084647014.4000,0.0,0.00794,-1.000,0.000,yes,vapor lower
spike,rss_steady_bytes,vapor,boot-vt,5,5,47819259.9040,1095027916.8000,0.0,0.00794,-1.000,0.000,yes,vapor lower
spike,rss_peak_bytes,vapor,boot-t200,5,5,50165972.9920,1119145164.8000,0.0,0.00794,-1.000,0.000,yes,vapor lower
spike,rss_peak_bytes,vapor,boot-t64,5,5,50165972.9920,1091462758.4000,0.0,0.00794,-1.000,0.000,yes,vapor lower
spike,rss_peak_bytes,vapor,boot-vt,5,5,50165972.9920,1109603123.2000,0.0,0.00794,-1.000,0.000,yes,vapor lower
spike,error_rate,vapor,boot-t200,5,5,0.0000,0.0000,12.5,1.00000,0.000,0.500,no,equal
spike,error_rate,vapor,boot-t64,5,5,0.0000,0.0000,12.5,1.00000,0.000,0.500,no,equal
spike,error_rate,vapor,boot-vt,5,5,0.0000,0.0000,12.5,1.00000,0.000,0.500,no,equal
spike,probe_p95_ms,vapor,boot-t200,5,5,6.7503,10.3972,0.0,0.00794,-1.000,0.000,yes,vapor lower
spike,probe_p95_ms,vapor,boot-t64,5,5,6.7503,10.4082,0.0,0.00794,-1.000,0.000,yes,vapor lower
spike,probe_p95_ms,vapor,boot-vt,5,5,6.7503,10.7745,0.0,0.00794,-1.000,0.000,yes,vapor lower
soak,client_p95_ms,vapor,boot-t200,5,5,98.3917,122.5902,3.0,0.05556,-0.760,0.120,no,vapor lower
soak,client_p95_ms,vapor,boot-t64,5,5,98.3917,115.4700,5.0,0.15079,-0.600,0.200,no,vapor lower
soak,client_p95_ms,vapor,boot-vt,5,5,98.3917,264.6838,0.0,0.00794,-1.000,0.000,yes,vapor lower
soak,client_p99_ms,vapor,boot-t200,5,5,223.5204,196.8765,11.0,0.84127,-0.120,0.440,no,vapor higher
soak,client_p99_ms,vapor,boot-t64,5,5,223.5204,181.4569,22.0,0.05556,0.760,0.880,no,vapor higher
soak,client_p99_ms,vapor,boot-vt,5,5,223.5204,395.6169,0.0,0.00794,-1.000,0.000,yes,vapor lower
soak,server_p95_ms,vapor,boot-t200,5,5,98.6117,122.7697,3.0,0.05556,-0.760,0.120,no,vapor lower
soak,server_p95_ms,vapor,boot-t64,5,5,98.6117,115.6929,4.0,0.09524,-0.680,0.160,no,vapor lower
soak,server_p95_ms,vapor,boot-vt,5,5,98.6117,268.2638,0.0,0.00794,-1.000,0.000,yes,vapor lower
soak,throughput_rps,vapor,boot-t200,5,5,25.6934,25.5778,23.0,0.03175,0.840,0.920,yes,vapor higher
soak,throughput_rps,vapor,boot-t64,5,5,25.6934,25.6354,17.0,0.42063,0.360,0.680,no,vapor higher
soak,throughput_rps,vapor,boot-vt,5,5,25.6934,25.1348,25.0,0.00794,1.000,1.000,yes,vapor higher
soak,rss_steady_bytes,vapor,boot-t200,5,5,37396414.4640,1080138137.6000,0.0,0.00794,-1.000,0.000,yes,vapor lower
soak,rss_steady_bytes,vapor,boot-t64,5,5,37396414.4640,1066611507.2000,0.0,0.00794,-1.000,0.000,yes,vapor lower
soak,rss_steady_bytes,vapor,boot-vt,5,5,37396414.4640,1061473484.8000,0.0,0.00794,-1.000,0.000,yes,vapor lower
soak,rss_peak_bytes,vapor,boot-t200,5,5,39631978.4960,1096600780.8000,0.0,0.00794,-1.000,0.000,yes,vapor lower
soak,rss_peak_bytes,vapor,boot-t64,5,5,39631978.4960,1091357900.8000,0.0,0.00794,-1.000,0.000,yes,vapor lower
soak,rss_peak_bytes,vapor,boot-vt,5,5,39631978.4960,1083074150.4000,0.0,0.00794,-1.000,0.000,yes,vapor lower
soak,error_rate,vapor,boot-t200,5,5,0.0000,0.0000,12.5,1.00000,0.000,0.500,no,equal
soak,error_rate,vapor,boot-t64,5,5,0.0000,0.0000,12.5,1.00000,0.000,0.500,no,equal
soak,error_rate,vapor,boot-vt,5,5,0.0000,0.0000,12.5,1.00000,0.000,0.500,no,equal
soak,probe_p95_ms,vapor,boot-t200,5,5,5.7264,10.6730,0.0,0.00794,-1.000,0.000,yes,vapor lower
soak,probe_p95_ms,vapor,boot-t64,5,5,5.7264,10.7308,0.0,0.00794,-1.000,0.000,yes,vapor lower
soak,probe_p95_ms,vapor,boot-vt,5,5,5.7264,19.2282,0.0,0.00794,-1.000,0.000,yes,vapor lower
