scenario,config,config_label,metric,n,median,iqr,q1,q3,ci95_low,ci95_high
stress,boot-t200,"Spring Boot, Tomcat 200",db_pool_active_peak,5,20.0000,0.0000,20.0000,20.0000,20.0000,20.0000
stress,boot-t200,"Spring Boot, Tomcat 200",db_wait_mean_ms,5,3045.9452,167.0672,3005.6318,3172.6990,2972.7973,3509.3809
stress,boot-t200,"Spring Boot, Tomcat 200",probe_p50_ms,5,5.4595,0.5240,5.3780,5.9020,5.0930,5.9730
stress,boot-t200,"Spring Boot, Tomcat 200",probe_p95_ms,5,1474.7401,603.2328,1333.7787,1937.0115,1201.8804,2606.9582
stress,boot-t200,"Spring Boot, Tomcat 200",probe_p99_ms,5,6582.5524,664.4901,6061.9611,6726.4513,4302.6383,7607.7108
stress,boot-t200,"Spring Boot, Tomcat 200",k6_cpu_mean_percent_of_one_core,5,2.3479,0.0078,2.3440,2.3518,2.3004,2.3673
stress,boot-t200,"Spring Boot, Tomcat 200",k6_cpu_peak_percent_of_one_core,5,7.0499,0.7001,6.7728,7.4730,6.3084,7.7327
stress,boot-t200,"Spring Boot, Tomcat 200",k6_rss_peak_bytes,5,251183104.0000,6586368.0000,245334016.0000,251920384.0000,229212160.0000,252166144.0000
stress,boot-t200,"Spring Boot, Tomcat 200",server_throughput_peak_rps,5,37.8000,3.0000,37.0000,40.0000,35.4000,40.2000
stress,boot-t200,"Spring Boot, Tomcat 200",ep_get_users_p95_ms,5,31088.2978,699.4606,30709.9610,31409.4216,30038.3988,32204.5559
stress,boot-t200,"Spring Boot, Tomcat 200",ep_post_users_p95_ms,5,36701.4710,1130.3232,36131.8827,37262.2060,36106.3550,37299.4585
stress,boot-t64,"Spring Boot, Tomcat 64",client_p50_ms,5,11601.9840,213.3910,11484.1940,11697.5850,11299.5285,11708.6830
stress,boot-t64,"Spring Boot, Tomcat 64",client_p95_ms,5,28295.2465,602.7226,27905.0590,28507.7817,27802.4856,31296.3920
stress,boot-t64,"Spring Boot, Tomcat 64",client_p99_ms,5,31697.9036,2727.1153,31504.3168,34231.4321,31334.3102,35397.2880
stress,boot-t64,"Spring Boot, Tomcat 64",client_max_ms,5,38906.7140,2007.3820,38096.3070,40103.6890,36104.0940,40596.7420
stress,boot-t64,"Spring Boot, Tomcat 64",throughput_rps,5,25.0724,0.2652,24.8133,25.0785,24.1190,25.1640
stress,boot-t64,"Spring Boot, Tomcat 64",requests_total,5,5274.0000,56.0000,5219.0000,5275.0000,5071.0000,5292.0000
stress,boot-t64,"Spring Boot, Tomcat 64",error_rate,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stress,boot-t64,"Spring Boot, Tomcat 64",rss_peak_bytes,5,1091043328.0000,62180556.8000,1067345510.4000,1129526067.2000,1066401792.0000,1159620198.4000
stress,boot-t64,"Spring Boot, Tomcat 64",rss_steady_bytes,5,1067869798.4000,87241523.2000,1027499622.4000,1114741145.6000,1020159590.4000,1134139801.6000
stress,boot-t64,"Spring Boot, Tomcat 64",cpu_mean_percent_of_one_core,5,149.0127,0.4731,148.5824,149.0555,148.2767,149.3756
stress,boot-t64,"Spring Boot, Tomcat 64",jvm_heap_used_steady_bytes,5,64988248.0000,1178968.0000,64706984.0000,65885952.0000,57995152.0000,74100000.0000
stress,boot-t64,"Spring Boot, Tomcat 64",jvm_heap_used_peak_bytes,5,92148392.0000,18402192.0000,91051776.0000,109453968.0000,88872352.0000,137484384.0000
stress,boot-t64,"Spring Boot, Tomcat 64",jvm_heap_committed_steady_bytes,5,101711872.0000,9437184.0000,94371840.0000,103809024.0000,93323264.0000,111673344.0000
stress,boot-t64,"Spring Boot, Tomcat 64",jvm_heap_committed_peak_bytes,5,106954752.0000,35651584.0000,103809024.0000,139460608.0000,97517568.0000,159383552.0000
stress,boot-t64,"Spring Boot, Tomcat 64",gc_pause_count,5,49.0000,24.0000,28.0000,52.0000,11.0000,53.0000
stress,boot-t64,"Spring Boot, Tomcat 64",gc_pause_total_seconds,5,0.2960,0.3130,0.1770,0.4900,0.0810,0.5400
stress,boot-t64,"Spring Boot, Tomcat 64",tomcat_busy_threads_median,5,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
stress,boot-t64,"Spring Boot, Tomcat 64",tomcat_busy_threads_peak,5,64.0000,0.0000,64.0000,64.0000,64.0000,64.0000
stress,boot-t64,"Spring Boot, Tomcat 64",tomcat_threads_max_config,5,64.0000,0.0000,64.0000,64.0000,64.0000,64.0000
stress,boot-t64,"Spring Boot, Tomcat 64",db_pool_pending_median,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stress,boot-t64,"Spring Boot, Tomcat 64",db_pool_pending_peak,5,43.0000,0.0000,43.0000,43.0000,42.0000,44.0000
stress,boot-t64,"Spring Boot, Tomcat 64",db_pool_active_peak,5,20.0000,0.0000,20.0000,20.0000,20.0000,20.0000
stress,boot-t64,"Spring Boot, Tomcat 64",db_wait_mean_ms,5,1035.6248,55.7864,994.0627,1049.8491,973.8049,1106.6360
stress,boot-t64,"Spring Boot, Tomcat 64",probe_p50_ms,5,5.7485,0.4455,5.5965,6.0420,5.5835,6.1280
stress,boot-t64,"Spring Boot, Tomcat 64",probe_p95_ms,5,2139.0560,259.7624,1963.5564,2223.3188,1583.2473,2495.4541
stress,boot-t64,"Spring Boot, Tomcat 64",probe_p99_ms,5,6999.0333,1418.2308,6601.4058,8019.6365,5559.5910,8450.1276
stress,boot-t64,"Spring Boot, Tomcat 64",k6_cpu_mean_percent_of_one_core,5,2.4236,0.1808,2.2816,2.4625,2.2573,2.4876
stress,boot-t64,"Spring Boot, Tomcat 64",k6_cpu_peak_percent_of_one_core,5,7.4974,0.1875,7.4726,7.6601,7.1685,7.7418
stress,boot-t64,"Spring Boot, Tomcat 64",k6_rss_peak_bytes,5,258228224.0000,3686400.0000,257736704.0000,261423104.0000,241909760.0000,262438912.0000
